# collection_id,20260725T185206Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1437,18416,2565,203832,172576,16
1,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1402,13973,3508,205813,174528,16
2,compute-independent,automatic-scoped,16,1048576,8,1024,1024,2737,15016,3070,202518,170240,16
3,compute-independent,automatic-scoped,16,1048576,8,1024,1024,2535,14891,2749,197250,166272,16
4,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1464,14792,2545,208407,177248,16
5,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1262,15754,2746,199414,168320,16
6,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1427,15513,2630,202550,170816,16
7,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1420,13763,2793,199313,168960,16
8,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1396,13677,2571,208061,176640,16
9,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1364,12788,2806,204139,172832,16
10,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1455,13884,2567,204258,172832,16
11,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1372,13749,2752,202351,171072,16
12,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1432,12736,2705,202847,170592,16
13,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1383,13784,2965,204488,172416,16
14,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1568,13720,2703,201733,170496,16
15,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1461,13752,2518,201758,170720,16
16,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1467,13864,2812,201708,170368,16
17,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1485,13770,3359,214604,182944,16
18,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1471,12602,3548,203341,170528,16
19,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1460,13861,2700,200465,168416,16
20,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1515,13891,2848,201573,170304,16
21,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1457,12649,2643,202550,170528,16
22,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1696,13775,2764,207909,176448,16
23,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1374,13767,2670,206328,174592,16
24,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1475,13912,2820,202016,170528,16
25,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1368,13766,2771,206674,175072,16
26,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1530,13865,3099,206033,174592,16
27,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1380,13995,3513,206175,174272,16
28,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1531,12853,2836,206939,175232,16
29,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1474,13977,2754,204788,172672,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
