# collection_id,20260725T185206Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only,16,1048576,8,1024,1024,1322,16379,2825,194130,164800,16
1,mixed-chain,hazard-only,16,1048576,8,1024,1024,1521,17791,3134,194618,164544,16
2,mixed-chain,hazard-only,16,1048576,8,1024,1024,2564,17362,2609,194244,164704,16
3,mixed-chain,hazard-only,16,1048576,8,1024,1024,1697,18929,2361,195359,164640,16
4,mixed-chain,hazard-only,16,1048576,8,1024,1024,1320,17982,2590,193646,164736,16
5,mixed-chain,hazard-only,16,1048576,8,1024,1024,1499,21181,2387,195271,165312,16
6,mixed-chain,hazard-only,16,1048576,8,1024,1024,1296,17389,3056,193166,164224,16
7,mixed-chain,hazard-only,16,1048576,8,1024,1024,2606,17412,2411,193999,164512,16
8,mixed-chain,hazard-only,16,1048576,8,1024,1024,1321,16202,2831,193198,164320,16
9,mixed-chain,hazard-only,16,1048576,8,1024,1024,1801,17019,2350,194120,164768,16
10,mixed-chain,hazard-only,16,1048576,8,1024,1024,1292,16365,2559,193582,164608,16
11,mixed-chain,hazard-only,16,1048576,8,1024,1024,1479,17060,2362,193910,164192,16
12,mixed-chain,hazard-only,16,1048576,8,1024,1024,1290,16481,2567,193802,164544,16
13,mixed-chain,hazard-only,16,1048576,8,1024,1024,1426,16813,2754,193862,164896,16
14,mixed-chain,hazard-only,16,1048576,8,1024,1024,1260,16449,2399,202950,173664,16
15,mixed-chain,hazard-only,16,1048576,8,1024,1024,1472,16531,2533,193286,164448,16
16,mixed-chain,hazard-only,16,1048576,8,1024,1024,1257,16288,2896,191358,162912,16
17,mixed-chain,hazard-only,16,1048576,8,1024,1024,1412,16912,3172,194538,163808,16
18,mixed-chain,hazard-only,16,1048576,8,1024,1024,1272,16298,2538,194549,164768,16
19,mixed-chain,hazard-only,16,1048576,8,1024,1024,1528,16674,2551,195327,163552,16
20,mixed-chain,hazard-only,16,1048576,8,1024,1024,1372,17100,2473,193035,163968,16
21,mixed-chain,hazard-only,16,1048576,8,1024,1024,1469,16834,2556,193086,164256,16
22,mixed-chain,hazard-only,16,1048576,8,1024,1024,1212,16306,2360,194346,164608,16
23,mixed-chain,hazard-only,16,1048576,8,1024,1024,1490,16982,2721,193588,164480,16
24,mixed-chain,hazard-only,16,1048576,8,1024,1024,1253,16341,2401,193068,163648,16
25,mixed-chain,hazard-only,16,1048576,8,1024,1024,1444,16569,2830,193929,164896,16
26,mixed-chain,hazard-only,16,1048576,8,1024,1024,1268,16143,2360,193919,164832,16
27,mixed-chain,hazard-only,16,1048576,8,1024,1024,1412,16994,2524,193142,164032,16
28,mixed-chain,hazard-only,16,1048576,8,1024,1024,1278,16192,2381,194766,164672,16
29,mixed-chain,hazard-only,16,1048576,8,1024,1024,1544,16975,2629,193939,164224,16
# validation_hash,fnv1a64:d723cf861be8a15e
