# collection_id,20260725T185206Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all,16,1048576,8,1024,1024,1205,21139,2333,172429,141536,16
1,graphics-independent,explicit-all,16,1048576,8,1024,1024,1151,22099,10737,178711,146784,16
2,graphics-independent,explicit-all,16,1048576,8,1024,1024,2252,31315,2460,173647,142560,16
3,graphics-independent,explicit-all,16,1048576,8,1024,1024,1111,31635,2680,174896,144000,16
4,graphics-independent,explicit-all,16,1048576,8,1024,1024,1132,32387,2443,176189,145280,16
5,graphics-independent,explicit-all,16,1048576,8,1024,1024,1111,32969,2683,172619,141728,16
6,graphics-independent,explicit-all,16,1048576,8,1024,1024,1118,34544,2438,174056,142048,16
7,graphics-independent,explicit-all,16,1048576,8,1024,1024,1518,19909,2647,172175,141568,16
8,graphics-independent,explicit-all,16,1048576,8,1024,1024,1148,20052,2433,173650,141568,16
9,graphics-independent,explicit-all,16,1048576,8,1024,1024,1175,19717,2660,172366,141760,16
10,graphics-independent,explicit-all,16,1048576,8,1024,1024,1156,19892,2447,172949,141760,16
11,graphics-independent,explicit-all,16,1048576,8,1024,1024,1235,20009,2651,173107,141760,16
12,graphics-independent,explicit-all,16,1048576,8,1024,1024,1202,19961,2648,174237,141440,16
13,graphics-independent,explicit-all,16,1048576,8,1024,1024,1240,19870,2717,173852,141952,16
14,graphics-independent,explicit-all,16,1048576,8,1024,1024,1216,20187,2668,173077,141728,16
15,graphics-independent,explicit-all,16,1048576,8,1024,1024,1184,20044,2431,173501,141728,16
16,graphics-independent,explicit-all,16,1048576,8,1024,1024,1171,20160,2704,173380,142176,16
17,graphics-independent,explicit-all,16,1048576,8,1024,1024,1150,20088,3007,173601,141632,16
18,graphics-independent,explicit-all,16,1048576,8,1024,1024,1203,19746,3290,175057,141696,16
19,graphics-independent,explicit-all,16,1048576,8,1024,1024,1207,20089,2631,173673,141888,16
20,graphics-independent,explicit-all,16,1048576,8,1024,1024,1176,20075,2686,173656,141760,16
21,graphics-independent,explicit-all,16,1048576,8,1024,1024,1138,20039,2458,173117,141856,16
22,graphics-independent,explicit-all,16,1048576,8,1024,1024,1154,19970,2636,173756,141440,16
23,graphics-independent,explicit-all,16,1048576,8,1024,1024,1185,19540,2465,174434,142112,16
24,graphics-independent,explicit-all,16,1048576,8,1024,1024,1168,20430,2846,173649,141824,16
25,graphics-independent,explicit-all,16,1048576,8,1024,1024,1148,20022,2477,173615,142176,16
26,graphics-independent,explicit-all,16,1048576,8,1024,1024,1222,19965,2710,173186,141824,16
27,graphics-independent,explicit-all,16,1048576,8,1024,1024,1170,20017,2428,174053,142432,16
28,graphics-independent,explicit-all,16,1048576,8,1024,1024,1191,20069,2671,173252,141728,16
29,graphics-independent,explicit-all,16,1048576,8,1024,1024,1185,20066,2488,174345,142144,16
# validation_hash,fnv1a64:161975f4e03e1a92
