# collection_id,20260725T185206Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1234,29302,3508,223785,164320,16
1,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,2416,18654,2604,223652,163840,16
2,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1306,19545,2741,225060,165312,16
3,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1377,19546,2559,223982,164320,16
4,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1253,19642,2905,223020,163456,16
5,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1345,18966,3292,223444,163968,16
6,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,2681,17821,2747,223490,163840,16
7,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1335,18183,2549,223510,163680,16
8,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1267,17839,2792,224926,163968,16
9,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1368,17330,2628,223074,163552,16
10,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1532,17612,2740,223089,163360,16
11,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1373,17994,2554,223614,163520,16
12,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1265,17503,2933,225149,163936,16
13,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1417,17480,2746,223717,164128,16
14,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1303,17581,2569,223487,163520,16
15,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1419,18011,2829,223697,163808,16
16,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1330,17717,3104,223095,163904,16
17,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1328,17368,3360,224601,163488,16
18,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1250,17720,2773,224348,164480,16
19,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1358,17924,2775,223417,163552,16
20,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1290,16903,2587,224508,163936,16
21,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1378,18066,2809,227174,164192,16
22,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1283,17735,2628,225640,165568,16
23,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1339,18117,2797,223640,163904,16
24,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1219,17659,2748,224073,163424,16
25,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1319,18021,2779,223628,163808,16
26,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1329,16784,2527,223941,163744,16
27,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1523,18112,2956,221469,163392,16
28,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1295,17618,2503,222765,163424,16
29,mixed-independent,explicit-all-scoped,16,1048576,8,1024,1024,1397,17815,2776,222194,163840,16
# validation_hash,fnv1a64:bed1d5e4700d559c
