# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,4189,21500,5607,197937,164672,16
1,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,3620,24786,6150,202832,168960,16
2,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,3841,24240,7411,199714,166496,16
3,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,3197,23529,6761,196018,164576,16
4,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,2254,14193,4303,194315,164128,16
5,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1492,13636,3801,194607,164896,16
6,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1425,14417,3040,196332,166144,16
7,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1361,12428,3035,202996,166080,16
8,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1492,13307,2563,201192,164224,16
9,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1350,13178,2902,204340,166368,16
10,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1457,12500,2600,200405,164064,16
11,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1309,13214,2911,201515,164448,16
12,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1408,13415,2664,209744,166240,16
13,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1445,13196,2858,199517,166272,16
14,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1856,19125,3888,195234,164512,16
15,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1441,12365,2586,194179,164192,16
16,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1504,13421,2785,194173,164544,16
17,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1432,13283,3735,195210,166624,16
18,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1428,13107,5411,198738,168256,16
19,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1296,12768,2790,194395,164864,16
20,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1424,13234,2774,194841,164800,16
21,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1322,13331,2536,198896,164096,16
22,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1234,13334,2839,195479,164320,16
23,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1367,13234,2544,195485,164928,16
24,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1410,12482,2742,194578,164768,16
25,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1448,13207,2509,196869,166816,16
26,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1424,13340,2754,194194,164576,16
27,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1464,13150,2739,196431,164704,16
28,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1478,13467,2804,194435,164544,16
29,compute-chain,hazard-only-scoped,16,1048576,8,1024,1024,1409,13315,2654,193917,164160,16
# validation_hash,fnv1a64:1051691fc9daa325
