# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,16,1048576,8,1024,1024,1399,13691,3093,245682,170688,16
1,compute-independent,automatic,16,1048576,8,1024,1024,2683,13711,3405,204517,172320,16
2,compute-independent,automatic,16,1048576,8,1024,1024,2620,15344,2522,202965,172224,16
3,compute-independent,automatic,16,1048576,8,1024,1024,1492,16207,2674,206602,176320,16
4,compute-independent,automatic,16,1048576,8,1024,1024,1374,14773,2521,203470,172896,16
5,compute-independent,automatic,16,1048576,8,1024,1024,1521,16176,2707,202786,172352,16
6,compute-independent,automatic,16,1048576,8,1024,1024,1362,13608,2490,199394,168768,16
7,compute-independent,automatic,16,1048576,8,1024,1024,1409,14220,2706,204966,174624,16
8,compute-independent,automatic,16,1048576,8,1024,1024,1377,13796,2491,203125,172896,16
9,compute-independent,automatic,16,1048576,8,1024,1024,1489,14083,2667,204306,174976,16
10,compute-independent,automatic,16,1048576,8,1024,1024,1461,13826,2480,199398,168576,16
11,compute-independent,automatic,16,1048576,8,1024,1024,1498,12457,2686,204846,174752,16
12,compute-independent,automatic,16,1048576,8,1024,1024,1325,13723,2558,199402,168992,16
13,compute-independent,automatic,16,1048576,8,1024,1024,1529,14167,2916,199199,168992,16
14,compute-independent,automatic,16,1048576,8,1024,1024,1484,13717,2665,201034,171008,16
15,compute-independent,automatic,16,1048576,8,1024,1024,1538,14237,2539,201142,170432,16
16,compute-independent,automatic,16,1048576,8,1024,1024,1373,13831,2685,203205,172896,16
17,compute-independent,automatic,16,1048576,8,1024,1024,1457,14187,3040,212327,182400,16
18,compute-independent,automatic,16,1048576,8,1024,1024,1329,12217,3557,197887,166816,16
19,compute-independent,automatic,16,1048576,8,1024,1024,1470,14016,2697,200873,170464,16
20,compute-independent,automatic,16,1048576,8,1024,1024,1365,13740,2689,201207,170976,16
21,compute-independent,automatic,16,1048576,8,1024,1024,1447,13998,2562,198190,168576,16
22,compute-independent,automatic,16,1048576,8,1024,1024,1295,13699,2717,202943,172928,16
23,compute-independent,automatic,16,1048576,8,1024,1024,1477,14235,2463,206431,174656,16
24,compute-independent,automatic,16,1048576,8,1024,1024,1373,13800,2696,197880,168096,16
25,compute-independent,automatic,16,1048576,8,1024,1024,1508,12713,2605,198809,168160,16
26,compute-independent,automatic,16,1048576,8,1024,1024,1259,13787,2612,199349,168960,16
27,compute-independent,automatic,16,1048576,8,1024,1024,1558,14185,2532,205478,174976,16
28,compute-independent,automatic,16,1048576,8,1024,1024,1478,13811,2683,203468,172832,16
29,compute-independent,automatic,16,1048576,8,1024,1024,1432,14035,2497,200885,170176,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
