# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1230,14174,2970,249872,176736,16
1,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,2792,13530,3361,203472,172672,16
2,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,2606,14149,2479,205342,174848,16
3,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1349,14404,2646,202621,172320,16
4,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1445,15003,2474,203025,172768,16
5,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1493,15440,2624,198603,168480,16
6,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1353,14366,2471,200818,170464,16
7,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1557,12517,2647,198323,168224,16
8,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1361,13318,2448,196843,166432,16
9,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1413,13352,2758,198420,168352,16
10,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1498,12995,2493,203097,172800,16
11,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1445,13248,2662,202021,172672,16
12,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1388,13153,2518,198993,168416,16
13,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1469,13415,2882,198737,168544,16
14,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1266,13078,2594,198204,168096,16
15,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1320,13444,2456,207009,176256,16
16,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1343,13314,2722,202650,172832,16
17,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1451,12555,2920,201805,170944,16
18,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1215,13091,3052,203045,172384,16
19,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1496,13284,2605,200994,170592,16
20,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1370,12426,2711,202867,172352,16
21,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1305,13323,2528,201727,171136,16
22,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1364,13309,2605,199003,169120,16
23,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1480,13432,2434,203332,172928,16
24,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1296,13122,2643,199113,168640,16
25,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1490,17444,4171,198062,166432,16
26,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1347,12354,2747,197510,166976,16
27,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1560,13412,2479,194273,164032,16
28,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1414,13209,2606,198914,168864,16
29,compute-independent,explicit-all-scoped,16,1048576,8,1024,1024,1458,13403,2421,201088,170112,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
