# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1493,8360,2148,167138,135936,16
1,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1445,7975,3373,168417,136384,16
2,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1352,8514,2096,169527,137792,16
3,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1563,8801,2279,169198,138048,16
4,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1304,8572,2041,170210,138496,16
5,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1423,8857,2262,169688,138496,16
6,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1349,8501,2127,169092,137760,16
7,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1411,8965,2255,169877,138368,16
8,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1420,8386,3013,168064,136224,16
9,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1443,8031,2287,167266,136096,16
10,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1345,8520,2083,167100,135744,16
11,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1329,8865,2369,169656,138208,16
12,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1343,8495,2064,169699,137568,16
13,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1440,8824,2342,169133,136416,16
14,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1274,8512,2310,169129,137824,16
15,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1703,8802,3016,167507,136128,16
16,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1266,8476,2250,169149,138080,16
17,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1431,8717,2615,168492,137664,16
18,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1249,8586,2621,170991,138048,16
19,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1470,7995,2242,169147,137728,16
20,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1201,8492,2242,167146,135872,16
21,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1370,8735,2040,167976,136352,16
22,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1320,8545,3303,169155,137888,16
23,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1410,8814,2054,169695,138112,16
24,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1350,8448,2242,169173,137824,16
25,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1385,8854,2036,169960,138048,16
26,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1250,8215,2274,169230,137984,16
27,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1490,8828,2079,168760,137504,16
28,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1336,8475,2249,170106,137696,16
29,compute-independent,hazard-only-scoped,16,1048576,8,1024,1024,1487,8818,3058,170192,138400,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
