# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1259,20767,2717,158386,127776,16
1,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1386,23256,3009,158195,127584,16
2,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1226,19946,3013,158267,127936,16
3,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,3138,20227,2685,158737,127872,16
4,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1232,20560,2478,158787,127872,16
5,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1349,21285,2718,158362,127776,16
6,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1205,20898,2490,159149,127936,16
7,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1358,19369,2771,158015,127456,16
8,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1211,18517,2566,158227,127936,16
9,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1380,19206,2760,157592,127552,16
10,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1237,18537,2546,157789,127712,16
11,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1366,19268,2756,158116,127936,16
12,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1207,18550,2733,159605,127904,16
13,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1373,18916,2744,157405,127456,16
14,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1228,18518,2696,158530,127904,16
15,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1385,19095,2585,158708,127840,16
16,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1198,18703,2707,157523,127776,16
17,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1340,19146,3005,158845,127648,16
18,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1191,18522,3129,159974,127776,16
19,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1447,18838,2734,157928,127840,16
20,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1550,18647,2642,158144,127744,16
21,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1341,19244,2552,157894,127872,16
22,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1189,18434,2652,157522,127744,16
23,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1346,19227,2523,157873,127648,16
24,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1493,18564,2840,158099,127872,16
25,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1364,19133,2448,157956,127744,16
26,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1196,18426,2688,157658,127616,16
27,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1339,19128,2510,157942,127968,16
28,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1518,18569,2662,158746,128000,16
29,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1370,19179,2535,158638,127840,16
# validation_hash,fnv1a64:de1814328067f325
