# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,16,1048576,8,1024,1024,1301,21852,2576,165842,135136,16
1,graphics-chain,explicit-all,16,1048576,8,1024,1024,1392,21871,3389,168135,135072,16
2,graphics-chain,explicit-all,16,1048576,8,1024,1024,1287,21618,2573,166303,135200,16
3,graphics-chain,explicit-all,16,1048576,8,1024,1024,1390,21233,3337,167037,135296,16
4,graphics-chain,explicit-all,16,1048576,8,1024,1024,2552,20470,2587,166846,134880,16
5,graphics-chain,explicit-all,16,1048576,8,1024,1024,1348,22048,2811,166960,135072,16
6,graphics-chain,explicit-all,16,1048576,8,1024,1024,1247,21273,2576,167353,134944,16
7,graphics-chain,explicit-all,16,1048576,8,1024,1024,1282,20076,2785,165647,134880,16
8,graphics-chain,explicit-all,16,1048576,8,1024,1024,1261,19463,2598,166477,134880,16
9,graphics-chain,explicit-all,16,1048576,8,1024,1024,1322,19947,2811,166082,135040,16
10,graphics-chain,explicit-all,16,1048576,8,1024,1024,1206,19300,2604,166261,134880,16
11,graphics-chain,explicit-all,16,1048576,8,1024,1024,1412,19559,2924,166173,135296,16
12,graphics-chain,explicit-all,16,1048576,8,1024,1024,1278,19397,2837,166272,135136,16
13,graphics-chain,explicit-all,16,1048576,8,1024,1024,1352,19882,2831,165582,134688,16
14,graphics-chain,explicit-all,16,1048576,8,1024,1024,1280,19267,2818,165808,135168,16
15,graphics-chain,explicit-all,16,1048576,8,1024,1024,1330,19957,2578,166641,134944,16
16,graphics-chain,explicit-all,16,1048576,8,1024,1024,1285,19522,2806,165614,135168,16
17,graphics-chain,explicit-all,16,1048576,8,1024,1024,1371,19881,3100,165429,135008,16
18,graphics-chain,explicit-all,16,1048576,8,1024,1024,1206,18920,3406,166622,134976,16
19,graphics-chain,explicit-all,16,1048576,8,1024,1024,1449,19853,2894,166175,135232,16
20,graphics-chain,explicit-all,16,1048576,8,1024,1024,1269,19265,2761,166399,135296,16
21,graphics-chain,explicit-all,16,1048576,8,1024,1024,1352,26766,4069,167039,135296,16
22,graphics-chain,explicit-all,16,1048576,8,1024,1024,1321,19103,2812,166209,135136,16
23,graphics-chain,explicit-all,16,1048576,8,1024,1024,1360,19822,2610,165909,134976,16
24,graphics-chain,explicit-all,16,1048576,8,1024,1024,1307,19430,3017,166624,135232,16
25,graphics-chain,explicit-all,16,1048576,8,1024,1024,1292,19844,2520,166635,135232,16
26,graphics-chain,explicit-all,16,1048576,8,1024,1024,1236,19330,2736,166029,134944,16
27,graphics-chain,explicit-all,16,1048576,8,1024,1024,1405,19803,2622,166410,135264,16
28,graphics-chain,explicit-all,16,1048576,8,1024,1024,1246,19286,2753,165658,134912,16
29,graphics-chain,explicit-all,16,1048576,8,1024,1024,1363,19831,2586,166685,135136,16
# validation_hash,fnv1a64:de1814328067f325
