# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only,16,1048576,8,1024,1024,1323,22786,4331,168200,137408,16
1,mixed-independent,hazard-only,16,1048576,8,1024,1024,1586,12608,2098,167745,137280,16
2,mixed-independent,hazard-only,16,1048576,8,1024,1024,1271,12500,2175,168365,137856,16
3,mixed-independent,hazard-only,16,1048576,8,1024,1024,1462,13056,1948,167741,137184,16
4,mixed-independent,hazard-only,16,1048576,8,1024,1024,1315,13007,5137,167402,137120,16
5,mixed-independent,hazard-only,16,1048576,8,1024,1024,1416,13012,1947,167693,137472,16
6,mixed-independent,hazard-only,16,1048576,8,1024,1024,1256,12060,2328,168317,137632,16
7,mixed-independent,hazard-only,16,1048576,8,1024,1024,1508,12976,3425,166837,137344,16
8,mixed-independent,hazard-only,16,1048576,8,1024,1024,1267,12566,2201,167736,137504,16
9,mixed-independent,hazard-only,16,1048576,8,1024,1024,1494,12945,1952,167249,137088,16
10,mixed-independent,hazard-only,16,1048576,8,1024,1024,1323,12408,2113,167755,137376,16
11,mixed-independent,hazard-only,16,1048576,8,1024,1024,1441,12616,2008,167651,137344,16
12,mixed-independent,hazard-only,16,1048576,8,1024,1024,1311,12438,2110,168163,137632,16
13,mixed-independent,hazard-only,16,1048576,8,1024,1024,1446,12960,2127,166643,137408,16
14,mixed-independent,hazard-only,16,1048576,8,1024,1024,1268,12406,3069,167488,137792,16
15,mixed-independent,hazard-only,16,1048576,8,1024,1024,1377,13003,2186,167640,137600,16
16,mixed-independent,hazard-only,16,1048576,8,1024,1024,8241,12051,14705,167498,137440,16
17,mixed-independent,hazard-only,16,1048576,8,1024,1024,1480,13055,3290,167075,137056,16
18,mixed-independent,hazard-only,16,1048576,8,1024,1024,1542,12090,2132,168331,137824,16
19,mixed-independent,hazard-only,16,1048576,8,1024,1024,1534,12966,2085,167087,137344,16
20,mixed-independent,hazard-only,16,1048576,8,1024,1024,1328,12439,1919,168181,137664,16
21,mixed-independent,hazard-only,16,1048576,8,1024,1024,1619,12948,3246,166903,137216,16
22,mixed-independent,hazard-only,16,1048576,8,1024,1024,1301,12335,1946,167713,137248,16
23,mixed-independent,hazard-only,16,1048576,8,1024,1024,1470,12933,2197,166933,137280,16
24,mixed-independent,hazard-only,16,1048576,8,1024,1024,1218,12185,2046,167359,136928,16
25,mixed-independent,hazard-only,16,1048576,8,1024,1024,1406,12927,2166,167328,137504,16
26,mixed-independent,hazard-only,16,1048576,8,1024,1024,1284,12373,1941,168043,137280,16
27,mixed-independent,hazard-only,16,1048576,8,1024,1024,1478,13013,2135,167170,137344,16
28,mixed-independent,hazard-only,16,1048576,8,1024,1024,1344,12387,2976,166990,137216,16
29,mixed-independent,hazard-only,16,1048576,8,1024,1024,1422,12905,2414,167280,137600,16
# validation_hash,fnv1a64:bed1d5e4700d559c
