# collection_id,20260725T185206Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,16,1048576,8,1024,1024,602,9028,99547,173941,135072,16
1,graphics-independent,tracked,16,1048576,8,1024,1024,202,6322,80025,175220,135008,16
2,graphics-independent,tracked,16,1048576,8,1024,1024,190,6434,60315,176467,135104,16
3,graphics-independent,tracked,16,1048576,8,1024,1024,196,6356,61620,174577,134912,16
4,graphics-independent,tracked,16,1048576,8,1024,1024,193,6440,60453,174309,134976,16
5,graphics-independent,tracked,16,1048576,8,1024,1024,198,6200,60097,174216,134976,16
6,graphics-independent,tracked,16,1048576,8,1024,1024,188,6234,59456,176568,135040,16
7,graphics-independent,tracked,16,1048576,8,1024,1024,191,6185,58809,174087,135008,16
8,graphics-independent,tracked,16,1048576,8,1024,1024,186,6198,59513,174257,134976,16
9,graphics-independent,tracked,16,1048576,8,1024,1024,193,6161,59076,175495,135008,16
10,graphics-independent,tracked,16,1048576,8,1024,1024,183,6194,60043,175004,135008,16
11,graphics-independent,tracked,16,1048576,8,1024,1024,184,6351,64026,174658,135040,16
12,graphics-independent,tracked,16,1048576,8,1024,1024,183,6421,58391,174425,135008,16
13,graphics-independent,tracked,16,1048576,8,1024,1024,188,6424,57197,174024,135008,16
14,graphics-independent,tracked,16,1048576,8,1024,1024,184,6370,57315,174402,135008,16
15,graphics-independent,tracked,16,1048576,8,1024,1024,183,6607,61279,174661,135328,16
16,graphics-independent,tracked,16,1048576,8,1024,1024,192,6252,57557,174294,135328,16
17,graphics-independent,tracked,16,1048576,8,1024,1024,186,6483,58005,173994,135040,16
18,graphics-independent,tracked,16,1048576,8,1024,1024,185,6450,64527,174850,134944,16
19,graphics-independent,tracked,16,1048576,8,1024,1024,211,6294,57192,174104,134944,16
20,graphics-independent,tracked,16,1048576,8,1024,1024,172,6234,56048,173563,135072,16
21,graphics-independent,tracked,16,1048576,8,1024,1024,180,6319,55255,174160,135456,16
22,graphics-independent,tracked,16,1048576,8,1024,1024,177,6289,55457,175197,135008,16
23,graphics-independent,tracked,16,1048576,8,1024,1024,180,6229,54991,173519,134848,16
24,graphics-independent,tracked,16,1048576,8,1024,1024,177,6266,55260,173518,134944,16
25,graphics-independent,tracked,16,1048576,8,1024,1024,171,6225,55033,173631,135520,16
26,graphics-independent,tracked,16,1048576,8,1024,1024,189,6229,54789,175698,135712,16
27,graphics-independent,tracked,16,1048576,8,1024,1024,178,6118,54966,174552,135552,16
28,graphics-independent,tracked,16,1048576,8,1024,1024,182,6209,55554,175054,135616,16
29,graphics-independent,tracked,16,1048576,8,1024,1024,177,6167,55365,174314,135680,16
# validation_hash,fnv1a64:161975f4e03e1a92
