# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1521,34350,2948,283440,253376,32
1,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1521,33923,3061,294005,263264,32
2,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1483,33899,2881,283906,253472,32
3,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1532,34575,3353,283854,253600,32
4,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1527,34435,2942,293318,262592,32
5,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1552,33990,3170,284098,253984,32
6,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1541,33951,3051,283567,253408,32
7,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1610,34891,3107,298435,266496,32
8,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1517,34466,2894,283722,253152,32
9,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1581,33880,3380,283295,253376,32
10,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1480,34543,2890,301089,267104,32
11,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1535,36203,3322,285418,255264,32
12,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1551,34264,2892,284040,253408,32
13,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1527,33660,3112,283886,253632,32
14,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1492,33721,3044,284278,253376,32
15,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1518,33594,2984,283870,253440,32
16,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1472,34258,3211,285613,253728,32
17,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1572,34617,3367,283854,253440,32
18,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1490,33582,3545,284402,253440,32
19,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1541,34702,3033,284160,253280,32
20,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1543,34541,3105,292841,262240,32
21,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1460,33991,2845,283900,253312,32
22,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1509,34893,3156,283805,253344,32
23,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1634,34540,3110,283908,253152,32
24,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1760,34806,3129,283285,253248,32
25,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1538,34580,2810,283912,253408,32
26,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1483,33803,3013,294021,262784,32
27,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1687,36870,3093,289096,253632,32
28,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1615,36075,3306,287324,253536,32
29,graphics-chain,explicit-all-scoped,32,1048576,8,1024,1024,1549,51373,3089,284186,253472,32
# validation_hash,fnv1a64:de1814328067f325
