# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,64,1048576,8,1024,1024,2472,66661,4089,609622,534144,64
1,graphics-chain,explicit-all,64,1048576,8,1024,1024,2189,81307,4051,607371,534048,64
2,graphics-chain,explicit-all,64,1048576,8,1024,1024,2210,80054,4139,565475,534048,64
3,graphics-chain,explicit-all,64,1048576,8,1024,1024,2260,79753,4391,564398,534400,64
4,graphics-chain,explicit-all,64,1048576,8,1024,1024,2225,81472,4390,564235,533856,64
5,graphics-chain,explicit-all,64,1048576,8,1024,1024,2099,78698,4199,565039,534848,64
6,graphics-chain,explicit-all,64,1048576,8,1024,1024,2257,81624,4109,565345,535168,64
7,graphics-chain,explicit-all,64,1048576,8,1024,1024,2281,81931,4179,566208,534912,64
8,graphics-chain,explicit-all,64,1048576,8,1024,1024,2305,69888,4322,565592,534144,64
9,graphics-chain,explicit-all,64,1048576,8,1024,1024,2355,73125,4196,565052,534944,64
10,graphics-chain,explicit-all,64,1048576,8,1024,1024,2204,80550,4069,564719,534368,64
11,graphics-chain,explicit-all,64,1048576,8,1024,1024,2301,82459,4493,566596,535200,64
12,graphics-chain,explicit-all,64,1048576,8,1024,1024,2333,72835,4010,573317,542848,64
13,graphics-chain,explicit-all,64,1048576,8,1024,1024,2178,80564,4233,565175,534016,64
14,graphics-chain,explicit-all,64,1048576,8,1024,1024,2349,71340,4226,565851,534080,64
15,graphics-chain,explicit-all,64,1048576,8,1024,1024,2308,70152,4375,566203,534592,64
16,graphics-chain,explicit-all,64,1048576,8,1024,1024,2390,71008,4270,565835,534176,64
17,graphics-chain,explicit-all,64,1048576,8,1024,1024,2281,70746,4758,565571,534624,64
18,graphics-chain,explicit-all,64,1048576,8,1024,1024,2352,72118,4839,568006,536224,64
19,graphics-chain,explicit-all,64,1048576,8,1024,1024,2290,71131,4500,594896,555456,64
20,graphics-chain,explicit-all,64,1048576,8,1024,1024,2489,80765,4589,567905,534496,64
21,graphics-chain,explicit-all,64,1048576,8,1024,1024,2444,80547,4667,568480,534240,64
22,graphics-chain,explicit-all,64,1048576,8,1024,1024,2553,82054,5298,570590,535680,64
23,graphics-chain,explicit-all,64,1048576,8,1024,1024,2794,85479,5018,569568,534208,64
24,graphics-chain,explicit-all,64,1048576,8,1024,1024,2824,91849,5518,573030,536992,64
25,graphics-chain,explicit-all,64,1048576,8,1024,1024,3161,89270,5302,573720,535072,64
26,graphics-chain,explicit-all,64,1048576,8,1024,1024,2967,93056,6030,585611,549152,64
27,graphics-chain,explicit-all,64,1048576,8,1024,1024,3371,103226,5869,573513,535008,64
28,graphics-chain,explicit-all,64,1048576,8,1024,1024,3189,100993,6153,577964,536416,64
29,graphics-chain,explicit-all,64,1048576,8,1024,1024,3507,106281,6166,577298,536160,64
# validation_hash,fnv1a64:de1814328067f325
