# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,887,1343,1874,46176,10144,1
1,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,887,1393,3061,41267,10176,1
2,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,862,1382,1923,45127,10112,1
3,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,850,1431,2067,45577,10080,1
4,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,884,1436,1880,45858,10080,1
5,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,880,1350,2341,44851,9920,1
6,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,847,1351,1886,46142,9920,1
7,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,857,1359,2046,45371,9952,1
8,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,852,1346,2773,44720,9920,1
9,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,928,1372,2117,45323,9920,1
10,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,885,1362,1876,46051,9920,1
11,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,862,1349,2059,45702,9952,1
12,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,873,1365,1937,45825,9952,1
13,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,892,1376,2067,56842,9920,1
14,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,941,1445,2239,51373,10048,1
15,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,930,1392,2821,44032,9952,1
16,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,981,1380,2068,48188,9856,1
17,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,956,1436,2462,46916,9984,1
18,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,914,1448,3847,45558,9920,1
19,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,939,1596,2238,49228,9952,1
20,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,859,1380,2058,45632,10016,1
21,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,860,1389,1897,45142,9952,1
22,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,843,1375,3079,44042,9984,1
23,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,895,1459,1950,45189,9984,1
24,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,844,1347,2076,45488,10016,1
25,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,850,1366,1882,45143,9856,1
26,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,848,1359,2048,45475,9888,1
27,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,870,1353,1885,45113,9952,1
28,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,861,1350,2047,45235,9920,1
29,graphics-independent,hazard-only-scoped,1,1048576,8,1024,1024,927,1357,2793,44418,9920,1
# validation_hash,fnv1a64:161975f4e03e1a92
