# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,829,932,3146,45554,11296,1
1,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,820,996,1946,43072,10592,1
2,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,854,866,2062,45301,10688,1
3,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,916,951,1880,45580,10464,1
4,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,825,984,3122,44433,11040,1
5,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,831,976,1889,45565,10976,1
6,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,889,958,2048,45473,10784,1
7,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,836,925,1915,45638,10464,1
8,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,824,925,2147,45547,11136,1
9,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,1757,925,1899,44696,11104,1
10,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,909,933,2072,45626,10624,1
11,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,846,922,1872,45522,11072,1
12,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,810,955,2103,45573,10592,1
13,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,1737,963,2067,44462,11072,1
14,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,835,987,1893,46641,10464,1
15,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,787,949,2079,45403,10528,1
16,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,893,1028,2419,44998,11136,1
17,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,879,887,3491,44094,10848,1
18,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,881,923,2077,45475,10624,1
19,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,835,978,2080,45439,10624,1
20,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,873,964,1912,45668,11232,1
21,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,828,994,3100,44500,10848,1
22,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,867,969,1907,45665,10336,1
23,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,873,988,2131,45304,10464,1
24,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,884,1029,1883,45463,11264,1
25,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,853,985,3442,44125,10784,1
26,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,881,974,1875,45659,10400,1
27,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,941,959,2091,45427,11040,1
28,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,823,932,1886,45660,10688,1
29,mixed-chain,automatic-scoped,1,1048576,8,1024,1024,908,959,3200,44285,10400,1
# validation_hash,fnv1a64:905b837d16859b25
