# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1398,8503,3117,72965,41472,4
1,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1378,7391,3045,72807,41504,4
2,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,2534,7229,3247,72213,41216,4
3,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1353,7310,4263,72612,40992,4
4,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1369,7259,3104,72643,41312,4
5,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1408,8605,2967,72622,41376,4
6,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1342,7143,3226,83305,52960,4
7,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1403,8872,3108,71415,40864,4
8,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1424,7598,6496,71023,40800,4
9,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1463,9128,3145,72681,40768,4
10,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1403,7525,3330,73259,41248,4
11,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,2574,7640,3127,72371,40768,4
12,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1412,8889,3308,71841,40768,4
13,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1433,7736,3982,71453,40672,4
14,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1419,8919,3115,73937,41536,4
15,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1463,7625,3430,72892,41056,4
16,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1436,8882,4083,72085,40736,4
17,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1462,7735,4254,74136,41312,4
18,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1494,9587,3447,73002,40736,4
19,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1521,7582,3371,73364,41088,4
20,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1512,7680,3155,73850,40960,4
21,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1537,7495,3310,73112,41216,4
22,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1461,7533,3397,72959,40736,4
23,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1449,7532,3330,73129,41184,4
24,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1422,7519,3051,73562,41312,4
25,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1419,9441,3397,72977,41120,4
26,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1434,7507,3091,73616,41568,4
27,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1415,8875,3276,72961,40928,4
28,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1629,7577,3148,73346,40672,4
29,mixed-chain,explicit-all-scoped,4,1048576,8,1024,1024,1404,8875,3347,73557,41344,4
# validation_hash,fnv1a64:1784df47b32de49f
