# collection_id,20260725T185508Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,tracked,2,1048576,8,1024,1024,187,870,15045,78814,18592,2
1,graphics-independent,tracked,2,1048576,8,1024,1024,312,1474,24107,53982,18560,2
2,graphics-independent,tracked,2,1048576,8,1024,1024,202,1086,16355,68198,18592,2
3,graphics-independent,tracked,2,1048576,8,1024,1024,191,914,15189,55096,18560,2
4,graphics-independent,tracked,2,1048576,8,1024,1024,183,885,12600,66039,18560,2
5,graphics-independent,tracked,2,1048576,8,1024,1024,218,911,18800,53154,18560,2
6,graphics-independent,tracked,2,1048576,8,1024,1024,192,942,13244,55218,18592,2
7,graphics-independent,tracked,2,1048576,8,1024,1024,203,867,12885,66126,18592,2
8,graphics-independent,tracked,2,1048576,8,1024,1024,202,937,14118,56758,18720,2
9,graphics-independent,tracked,2,1048576,8,1024,1024,199,912,13306,52637,18528,2
10,graphics-independent,tracked,2,1048576,8,1024,1024,198,912,13246,52661,18528,2
11,graphics-independent,tracked,2,1048576,8,1024,1024,207,904,14957,54153,18560,2
12,graphics-independent,tracked,2,1048576,8,1024,1024,190,1008,14145,52763,18784,2
13,graphics-independent,tracked,2,1048576,8,1024,1024,221,936,14392,51769,18560,2
14,graphics-independent,tracked,2,1048576,8,1024,1024,194,902,14787,52172,18592,2
15,graphics-independent,tracked,2,1048576,8,1024,1024,199,907,13322,52731,18560,2
16,graphics-independent,tracked,2,1048576,8,1024,1024,193,885,14485,51936,18560,2
17,graphics-independent,tracked,2,1048576,8,1024,1024,190,904,13964,52225,18560,2
18,graphics-independent,tracked,2,1048576,8,1024,1024,190,903,14483,52677,18560,2
19,graphics-independent,tracked,2,1048576,8,1024,1024,220,927,14535,53500,18816,2
20,graphics-independent,tracked,2,1048576,8,1024,1024,214,912,13322,51218,18496,2
21,graphics-independent,tracked,2,1048576,8,1024,1024,202,907,14096,52292,18496,2
22,graphics-independent,tracked,2,1048576,8,1024,1024,197,919,13459,51821,18560,2
23,graphics-independent,tracked,2,1048576,8,1024,1024,208,901,13100,53087,18528,2
24,graphics-independent,tracked,2,1048576,8,1024,1024,193,899,14524,51166,18560,2
25,graphics-independent,tracked,2,1048576,8,1024,1024,201,898,12987,52928,18528,2
26,graphics-independent,tracked,2,1048576,8,1024,1024,189,889,14228,55716,18592,2
27,graphics-independent,tracked,2,1048576,8,1024,1024,190,852,13128,51310,18560,2
28,graphics-independent,tracked,2,1048576,8,1024,1024,193,872,12455,51599,18528,2
29,graphics-independent,tracked,2,1048576,8,1024,1024,208,875,12598,51593,18528,2
# validation_hash,fnv1a64:161975f4e03e1a92
