# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,14197,14193,2507,225097,168064,16
1,compute-chain,automatic,16,1048576,8,1024,1024,1262,13571,2811,235132,178272,16
2,compute-chain,automatic,16,1048576,8,1024,1024,1293,14251,2603,237611,170144,16
3,compute-chain,automatic,16,1048576,8,1024,1024,1226,14319,2630,247227,166624,16
4,compute-chain,automatic,16,1048576,8,1024,1024,1208,14339,2496,230803,173664,16
5,compute-chain,automatic,16,1048576,8,1024,1024,1232,13177,3443,238027,168032,16
6,compute-chain,automatic,16,1048576,8,1024,1024,1194,13728,2386,234586,166048,16
7,compute-chain,automatic,16,1048576,8,1024,1024,1243,12299,2567,239155,168640,16
8,compute-chain,automatic,16,1048576,8,1024,1024,1394,12069,2501,224651,166112,16
9,compute-chain,automatic,16,1048576,8,1024,1024,1408,12935,2781,223453,166432,16
10,compute-chain,automatic,16,1048576,8,1024,1024,1296,12917,2474,227520,168416,16
11,compute-chain,automatic,16,1048576,8,1024,1024,1379,12887,2669,230171,168896,16
12,compute-chain,automatic,16,1048576,8,1024,1024,1311,12981,2501,229239,170272,16
13,compute-chain,automatic,16,1048576,8,1024,1024,1363,12021,2874,225309,166592,16
14,compute-chain,automatic,16,1048576,8,1024,1024,1352,13033,2633,224761,166112,16
15,compute-chain,automatic,16,1048576,8,1024,1024,1250,13065,2473,228075,166752,16
16,compute-chain,automatic,16,1048576,8,1024,1024,1336,13039,2684,225176,166624,16
17,compute-chain,automatic,16,1048576,8,1024,1024,1182,12938,2987,223925,164992,16
18,compute-chain,automatic,16,1048576,8,1024,1024,1360,12046,3019,225771,166368,16
19,compute-chain,automatic,16,1048576,8,1024,1024,1182,12980,2642,228689,167072,16
20,compute-chain,automatic,16,1048576,8,1024,1024,1457,12953,2706,222835,164128,16
21,compute-chain,automatic,16,1048576,8,1024,1024,1256,11914,2547,225710,167008,16
22,compute-chain,automatic,16,1048576,8,1024,1024,1389,12999,2714,227663,168864,16
23,compute-chain,automatic,16,1048576,8,1024,1024,1328,12984,2469,225072,166976,16
24,compute-chain,automatic,16,1048576,8,1024,1024,1242,12943,2674,226697,168512,16
25,compute-chain,automatic,16,1048576,8,1024,1024,1196,12935,2714,223889,164640,16
26,compute-chain,automatic,16,1048576,8,1024,1024,1406,13046,2718,223353,164480,16
27,compute-chain,automatic,16,1048576,8,1024,1024,1404,11889,2494,225627,166624,16
28,compute-chain,automatic,16,1048576,8,1024,1024,1365,12856,2684,226640,168064,16
29,compute-chain,automatic,16,1048576,8,1024,1024,1313,12935,2510,228136,169248,16
# validation_hash,fnv1a64:1051691fc9daa325
