# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,8,1048576,8,1024,1024,1090,6717,2203,115760,84992,8
1,compute-chain,explicit-all,8,1048576,8,1024,1024,1064,6291,2345,124686,93024,8
2,compute-chain,explicit-all,8,1048576,8,1024,1024,1108,6982,2236,114118,82176,8
3,compute-chain,explicit-all,8,1048576,8,1024,1024,1233,7066,2461,118490,84672,8
4,compute-chain,explicit-all,8,1048576,8,1024,1024,1008,6768,2171,113568,82944,8
5,compute-chain,explicit-all,8,1048576,8,1024,1024,1031,6727,2458,112765,82208,8
6,compute-chain,explicit-all,8,1048576,8,1024,1024,1080,6676,2327,113965,82880,8
7,compute-chain,explicit-all,8,1048576,8,1024,1024,1001,6825,2388,113491,82976,8
8,compute-chain,explicit-all,8,1048576,8,1024,1024,1137,8036,2368,115561,84448,8
9,compute-chain,explicit-all,8,1048576,8,1024,1024,1342,6834,2461,117523,86496,8
10,compute-chain,explicit-all,8,1048576,8,1024,1024,1336,6658,2252,127148,94944,8
11,compute-chain,explicit-all,8,1048576,8,1024,1024,1125,9598,2391,113643,82944,8
12,compute-chain,explicit-all,8,1048576,8,1024,1024,1027,6612,2165,118117,87200,8
13,compute-chain,explicit-all,8,1048576,8,1024,1024,1137,8078,2428,113311,82432,8
14,compute-chain,explicit-all,8,1048576,8,1024,1024,1023,7625,2347,112775,82144,8
15,compute-chain,explicit-all,8,1048576,8,1024,1024,1075,6717,2182,115713,84640,8
16,compute-chain,explicit-all,8,1048576,8,1024,1024,1078,7733,2380,113942,84224,8
17,compute-chain,explicit-all,8,1048576,8,1024,1024,1050,7717,2816,113183,84832,8
18,compute-chain,explicit-all,8,1048576,8,1024,1024,1086,7191,3070,121854,90400,8
19,compute-chain,explicit-all,8,1048576,8,1024,1024,1122,7786,2624,115867,84448,8
20,compute-chain,explicit-all,8,1048576,8,1024,1024,1098,8041,2426,114490,84864,8
21,compute-chain,explicit-all,8,1048576,8,1024,1024,1339,8058,2219,114969,84288,8
22,compute-chain,explicit-all,8,1048576,8,1024,1024,1097,17334,2524,115175,84800,8
23,compute-chain,explicit-all,8,1048576,8,1024,1024,1079,6619,2927,114274,82272,8
24,compute-chain,explicit-all,8,1048576,8,1024,1024,3776,6994,2601,113223,82048,8
25,compute-chain,explicit-all,8,1048576,8,1024,1024,1234,8132,2257,118607,86816,8
26,compute-chain,explicit-all,8,1048576,8,1024,1024,3444,7258,2458,114761,84384,8
27,compute-chain,explicit-all,8,1048576,8,1024,1024,1067,6732,2137,115871,84896,8
28,compute-chain,explicit-all,8,1048576,8,1024,1024,1127,6385,2527,114838,84224,8
29,compute-chain,explicit-all,8,1048576,8,1024,1024,1079,6671,2132,114914,84128,8
# validation_hash,fnv1a64:8a7c179d0989fb25
