# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,64,1048576,8,1024,1024,3070,58755,4281,699788,670240,64
1,compute-chain,hazard-only,64,1048576,8,1024,1024,3106,57942,4739,690734,661824,64
2,compute-chain,hazard-only,64,1048576,8,1024,1024,2972,79787,4588,695593,666400,64
3,compute-chain,hazard-only,64,1048576,8,1024,1024,2907,52419,4498,708672,679424,64
4,compute-chain,hazard-only,64,1048576,8,1024,1024,3423,58268,4353,701568,669856,64
5,compute-chain,hazard-only,64,1048576,8,1024,1024,3209,52638,4413,700773,670816,64
6,compute-chain,hazard-only,64,1048576,8,1024,1024,3452,53315,4194,690190,659712,64
7,compute-chain,hazard-only,64,1048576,8,1024,1024,3461,53374,4519,693885,663776,64
8,compute-chain,hazard-only,64,1048576,8,1024,1024,3095,66575,4874,702643,672128,64
9,compute-chain,hazard-only,64,1048576,8,1024,1024,3578,52307,4530,687469,657888,64
10,compute-chain,hazard-only,64,1048576,8,1024,1024,2804,52730,4268,694261,664064,64
11,compute-chain,hazard-only,64,1048576,8,1024,1024,2961,48495,4773,690098,660352,64
12,compute-chain,hazard-only,64,1048576,8,1024,1024,3350,53175,4401,697206,666464,64
13,compute-chain,hazard-only,64,1048576,8,1024,1024,3014,53574,4666,690961,659744,64
14,compute-chain,hazard-only,64,1048576,8,1024,1024,3792,63873,4835,693968,662368,64
15,compute-chain,hazard-only,64,1048576,8,1024,1024,3805,60624,4876,698476,664352,64
16,compute-chain,hazard-only,64,1048576,8,1024,1024,3687,63309,5723,697961,661856,64
17,compute-chain,hazard-only,64,1048576,8,1024,1024,4381,67305,6279,697580,661856,64
18,compute-chain,hazard-only,64,1048576,8,1024,1024,4277,64479,7205,704729,667872,64
19,compute-chain,hazard-only,64,1048576,8,1024,1024,4849,90278,6464,712841,674752,64
20,compute-chain,hazard-only,64,1048576,8,1024,1024,4532,71202,6788,707507,668576,64
21,compute-chain,hazard-only,64,1048576,8,1024,1024,5208,86923,6833,714846,674272,64
22,compute-chain,hazard-only,64,1048576,8,1024,1024,5557,89292,7414,713548,672704,64
23,compute-chain,hazard-only,64,1048576,8,1024,1024,5702,93396,7685,722516,678592,64
24,compute-chain,hazard-only,64,1048576,8,1024,1024,5347,88924,8075,741023,688576,64
25,compute-chain,hazard-only,64,1048576,8,1024,1024,5689,106171,7988,749355,690592,64
26,compute-chain,hazard-only,64,1048576,8,1024,1024,6464,109531,8954,753288,705248,64
27,compute-chain,hazard-only,64,1048576,8,1024,1024,5839,115256,9266,745245,695008,64
28,compute-chain,hazard-only,64,1048576,8,1024,1024,6014,115498,9553,746159,695232,64
29,compute-chain,hazard-only,64,1048576,8,1024,1024,6768,110355,9854,754854,700608,64
# validation_hash,fnv1a64:a3a6bc76b771ab25
