# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,8,1048576,8,1024,1024,927,8997,1998,111914,80288,8
1,graphics-chain,automatic,8,1048576,8,1024,1024,1030,11056,3342,99870,69216,8
2,graphics-chain,automatic,8,1048576,8,1024,1024,972,9544,2530,100269,69376,8
3,graphics-chain,automatic,8,1048576,8,1024,1024,981,9393,2616,99640,69120,8
4,graphics-chain,automatic,8,1048576,8,1024,1024,1010,9312,2385,99992,68960,8
5,graphics-chain,automatic,8,1048576,8,1024,1024,1286,9514,2738,99572,69088,8
6,graphics-chain,automatic,8,1048576,8,1024,1024,983,9450,2403,99628,68960,8
7,graphics-chain,automatic,8,1048576,8,1024,1024,952,9660,2836,99372,68896,8
8,graphics-chain,automatic,8,1048576,8,1024,1024,942,9467,2203,100460,69056,8
9,graphics-chain,automatic,8,1048576,8,1024,1024,997,12350,3706,97873,69152,8
10,graphics-chain,automatic,8,1048576,8,1024,1024,985,9092,2267,98847,68896,8
11,graphics-chain,automatic,8,1048576,8,1024,1024,933,8927,2346,99152,68928,8
12,graphics-chain,automatic,8,1048576,8,1024,1024,1250,15063,2089,98353,69056,8
13,graphics-chain,automatic,8,1048576,8,1024,1024,962,9955,2777,99221,69056,8
14,graphics-chain,automatic,8,1048576,8,1024,1024,918,9936,2953,98810,69152,8
15,graphics-chain,automatic,8,1048576,8,1024,1024,981,8936,3032,99368,69152,8
16,graphics-chain,automatic,8,1048576,8,1024,1024,3058,9397,3206,98084,69120,8
17,graphics-chain,automatic,8,1048576,8,1024,1024,947,9997,3300,101107,68928,8
18,graphics-chain,automatic,8,1048576,8,1024,1024,1056,10404,3619,99252,69472,8
19,graphics-chain,automatic,8,1048576,8,1024,1024,946,10015,3001,98820,69088,8
20,graphics-chain,automatic,8,1048576,8,1024,1024,930,9946,2601,98922,69120,8
21,graphics-chain,automatic,8,1048576,8,1024,1024,979,9070,2216,99224,69024,8
22,graphics-chain,automatic,8,1048576,8,1024,1024,956,10097,2957,99099,69184,8
23,graphics-chain,automatic,8,1048576,8,1024,1024,936,9986,2553,99091,69120,8
24,graphics-chain,automatic,8,1048576,8,1024,1024,922,10056,2763,98597,68800,8
25,graphics-chain,automatic,8,1048576,8,1024,1024,964,9895,2707,115476,81568,8
26,graphics-chain,automatic,8,1048576,8,1024,1024,928,8968,3116,98952,69088,8
27,graphics-chain,automatic,8,1048576,8,1024,1024,2136,8952,2717,99384,68960,8
28,graphics-chain,automatic,8,1048576,8,1024,1024,1284,9024,2547,99339,69120,8
29,graphics-chain,automatic,8,1048576,8,1024,1024,922,9312,2358,99198,69184,8
# validation_hash,fnv1a64:de1814328067f325
