# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only,64,1048576,8,1024,1024,4295,78161,6372,619016,548608,64
1,graphics-chain,hazard-only,64,1048576,8,1024,1024,2809,73115,4940,606241,535008,64
2,graphics-chain,hazard-only,64,1048576,8,1024,1024,2363,72445,4322,619958,545408,64
3,graphics-chain,hazard-only,64,1048576,8,1024,1024,2242,72646,4409,609618,536096,64
4,graphics-chain,hazard-only,64,1048576,8,1024,1024,2328,71915,4572,581580,544000,64
5,graphics-chain,hazard-only,64,1048576,8,1024,1024,2385,75628,4311,565423,534816,64
6,graphics-chain,hazard-only,64,1048576,8,1024,1024,2295,72357,4167,565835,535008,64
7,graphics-chain,hazard-only,64,1048576,8,1024,1024,2292,72334,4294,564512,534240,64
8,graphics-chain,hazard-only,64,1048576,8,1024,1024,2235,72345,4352,565136,534016,64
9,graphics-chain,hazard-only,64,1048576,8,1024,1024,2295,72662,4362,564825,534944,64
10,graphics-chain,hazard-only,64,1048576,8,1024,1024,2426,71447,4160,565072,534560,64
11,graphics-chain,hazard-only,64,1048576,8,1024,1024,2388,71864,4353,564992,534656,64
12,graphics-chain,hazard-only,64,1048576,8,1024,1024,2354,71901,4219,565206,534368,64
13,graphics-chain,hazard-only,64,1048576,8,1024,1024,2293,72094,4279,564755,534528,64
14,graphics-chain,hazard-only,64,1048576,8,1024,1024,2376,73092,4295,565056,534272,64
15,graphics-chain,hazard-only,64,1048576,8,1024,1024,2280,72466,4234,564665,534304,64
16,graphics-chain,hazard-only,64,1048576,8,1024,1024,2273,75380,4365,564094,534240,64
17,graphics-chain,hazard-only,64,1048576,8,1024,1024,2289,72798,4873,563980,534048,64
18,graphics-chain,hazard-only,64,1048576,8,1024,1024,2236,71228,5546,565585,534784,64
19,graphics-chain,hazard-only,64,1048576,8,1024,1024,2309,73206,4507,565487,534624,64
20,graphics-chain,hazard-only,64,1048576,8,1024,1024,2400,76796,4670,566126,534720,64
21,graphics-chain,hazard-only,64,1048576,8,1024,1024,2547,80733,4638,567022,534368,64
22,graphics-chain,hazard-only,64,1048576,8,1024,1024,2685,83418,4974,567568,535232,64
23,graphics-chain,hazard-only,64,1048576,8,1024,1024,2663,87670,5432,602228,555744,64
24,graphics-chain,hazard-only,64,1048576,8,1024,1024,2902,92471,5341,583704,541504,64
25,graphics-chain,hazard-only,64,1048576,8,1024,1024,2977,114724,6419,577509,536672,64
26,graphics-chain,hazard-only,64,1048576,8,1024,1024,3871,102050,6793,573782,536288,64
27,graphics-chain,hazard-only,64,1048576,8,1024,1024,3558,103526,5947,574907,536256,64
28,graphics-chain,hazard-only,64,1048576,8,1024,1024,3257,107601,6571,574999,536256,64
29,graphics-chain,hazard-only,64,1048576,8,1024,1024,3420,112726,6296,580458,538688,64
# validation_hash,fnv1a64:de1814328067f325
