# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic,64,1048576,8,1024,1024,2717,62401,4721,687001,655808,64
1,mixed-chain,automatic,64,1048576,8,1024,1024,2706,65795,4207,687722,656384,64
2,mixed-chain,automatic,64,1048576,8,1024,1024,2426,62294,4290,687409,656128,64
3,mixed-chain,automatic,64,1048576,8,1024,1024,2659,61908,4147,688031,656352,64
4,mixed-chain,automatic,64,1048576,8,1024,1024,2907,64604,4474,687498,656160,64
5,mixed-chain,automatic,64,1048576,8,1024,1024,2749,69406,4312,698349,666272,64
6,mixed-chain,automatic,64,1048576,8,1024,1024,2929,65473,4484,687387,655648,64
7,mixed-chain,automatic,64,1048576,8,1024,1024,2739,61393,4152,688185,656096,64
8,mixed-chain,automatic,64,1048576,8,1024,1024,2562,61847,4713,687301,655520,64
9,mixed-chain,automatic,64,1048576,8,1024,1024,2795,63985,4082,687564,656288,64
10,mixed-chain,automatic,64,1048576,8,1024,1024,2752,62441,4411,688595,656288,64
11,mixed-chain,automatic,64,1048576,8,1024,1024,2739,64059,4431,688329,656352,64
12,mixed-chain,automatic,64,1048576,8,1024,1024,2744,62400,4418,687667,656448,64
13,mixed-chain,automatic,64,1048576,8,1024,1024,2634,64883,4472,686869,655648,64
14,mixed-chain,automatic,64,1048576,8,1024,1024,2892,67346,4478,689867,656288,64
15,mixed-chain,automatic,64,1048576,8,1024,1024,2720,70665,5118,690280,655808,64
16,mixed-chain,automatic,64,1048576,8,1024,1024,2960,77322,5658,690246,655488,64
17,mixed-chain,automatic,64,1048576,8,1024,1024,3129,77463,6048,692483,656320,64
18,mixed-chain,automatic,64,1048576,8,1024,1024,3514,87450,6215,693839,656160,64
19,mixed-chain,automatic,64,1048576,8,1024,1024,3610,85539,6257,694261,655840,64
20,mixed-chain,automatic,64,1048576,8,1024,1024,3815,95862,6164,696766,656096,64
21,mixed-chain,automatic,64,1048576,8,1024,1024,4009,96350,6696,696483,655520,64
22,mixed-chain,automatic,64,1048576,8,1024,1024,4076,106198,7010,698373,655584,64
23,mixed-chain,automatic,64,1048576,8,1024,1024,4442,131064,7527,699876,656256,64
24,mixed-chain,automatic,64,1048576,8,1024,1024,5086,111530,7544,701876,656320,64
25,mixed-chain,automatic,64,1048576,8,1024,1024,4775,113627,8226,710246,663936,64
26,mixed-chain,automatic,64,1048576,8,1024,1024,5130,119998,8341,717992,669312,64
27,mixed-chain,automatic,64,1048576,8,1024,1024,5125,124253,8862,706863,656384,64
28,mixed-chain,automatic,64,1048576,8,1024,1024,5552,134006,8533,707933,655680,64
29,mixed-chain,automatic,64,1048576,8,1024,1024,5596,137667,10184,709411,656640,64
# validation_hash,fnv1a64:0fb17d52b045dcc6
