# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all,2,1048576,8,1024,1024,1191,3646,3945,50820,20544,2
1,mixed-chain,explicit-all,2,1048576,8,1024,1024,1177,3782,2660,59264,26848,2
2,mixed-chain,explicit-all,2,1048576,8,1024,1024,1321,3890,4209,55114,21344,2
3,mixed-chain,explicit-all,2,1048576,8,1024,1024,1219,3913,2778,55583,20672,2
4,mixed-chain,explicit-all,2,1048576,8,1024,1024,1179,3776,3167,58822,28128,2
5,mixed-chain,explicit-all,2,1048576,8,1024,1024,1237,5182,2847,54852,20672,2
6,mixed-chain,explicit-all,2,1048576,8,1024,1024,1233,3977,3010,52174,21184,2
7,mixed-chain,explicit-all,2,1048576,8,1024,1024,1268,3910,4165,53187,21472,2
8,mixed-chain,explicit-all,2,1048576,8,1024,1024,1268,3947,3067,65301,30176,2
9,mixed-chain,explicit-all,2,1048576,8,1024,1024,1207,3915,3922,55264,20352,2
10,mixed-chain,explicit-all,2,1048576,8,1024,1024,1245,3969,3008,52456,21216,2
11,mixed-chain,explicit-all,2,1048576,8,1024,1024,1336,3950,2770,52822,21280,2
12,mixed-chain,explicit-all,2,1048576,8,1024,1024,1241,5081,2959,51705,20416,2
13,mixed-chain,explicit-all,2,1048576,8,1024,1024,1236,3933,2947,51934,20832,2
14,mixed-chain,explicit-all,2,1048576,8,1024,1024,1257,4015,3968,52807,21344,2
15,mixed-chain,explicit-all,2,1048576,8,1024,1024,1226,3897,2946,52009,20704,2
16,mixed-chain,explicit-all,2,1048576,8,1024,1024,1209,3942,4548,52416,21216,2
17,mixed-chain,explicit-all,2,1048576,8,1024,1024,1226,3919,3847,52211,20320,2
18,mixed-chain,explicit-all,2,1048576,8,1024,1024,1219,3858,3054,52717,21408,2
19,mixed-chain,explicit-all,2,1048576,8,1024,1024,2662,3928,3216,52068,20960,2
20,mixed-chain,explicit-all,2,1048576,8,1024,1024,1224,3843,2756,52191,20928,2
21,mixed-chain,explicit-all,2,1048576,8,1024,1024,1255,5039,3021,52635,21120,2
22,mixed-chain,explicit-all,2,1048576,8,1024,1024,1253,3829,2826,52019,20864,2
23,mixed-chain,explicit-all,2,1048576,8,1024,1024,1213,3837,4170,52211,20832,2
24,mixed-chain,explicit-all,2,1048576,8,1024,1024,1292,3848,2777,51904,20448,2
25,mixed-chain,explicit-all,2,1048576,8,1024,1024,1263,3865,3039,51623,20352,2
26,mixed-chain,explicit-all,2,1048576,8,1024,1024,1234,3995,4235,52631,20704,2
27,mixed-chain,explicit-all,2,1048576,8,1024,1024,1221,3999,2976,52813,21024,2
28,mixed-chain,explicit-all,2,1048576,8,1024,1024,1244,3906,2772,51978,20352,2
29,mixed-chain,explicit-all,2,1048576,8,1024,1024,1222,3927,3026,51882,20864,2
# validation_hash,fnv1a64:a015aa2a0da336c7
