# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic,4,1048576,8,1024,1024,1050,5120,2293,73308,41600,4
1,mixed-independent,automatic,4,1048576,8,1024,1024,1962,5187,2115,74072,42144,4
2,mixed-independent,automatic,4,1048576,8,1024,1024,1057,5953,2287,74420,42528,4
3,mixed-independent,automatic,4,1048576,8,1024,1024,982,5122,2171,73861,41696,4
4,mixed-independent,automatic,4,1048576,8,1024,1024,994,6240,2284,73906,42304,4
5,mixed-independent,automatic,4,1048576,8,1024,1024,1016,5055,2083,73705,41856,4
6,mixed-independent,automatic,4,1048576,8,1024,1024,989,6196,2274,73358,41696,4
7,mixed-independent,automatic,4,1048576,8,1024,1024,1154,5041,2108,73538,41568,4
8,mixed-independent,automatic,4,1048576,8,1024,1024,1013,6082,2393,73225,41664,4
9,mixed-independent,automatic,4,1048576,8,1024,1024,994,5089,2191,73753,41696,4
10,mixed-independent,automatic,4,1048576,8,1024,1024,2201,5120,2276,74069,42432,4
11,mixed-independent,automatic,4,1048576,8,1024,1024,973,6156,2102,74654,42496,4
12,mixed-independent,automatic,4,1048576,8,1024,1024,1027,5155,2286,74271,42208,4
13,mixed-independent,automatic,4,1048576,8,1024,1024,1019,6020,2506,74392,42464,4
14,mixed-independent,automatic,4,1048576,8,1024,1024,1001,5037,2076,73562,41696,4
15,mixed-independent,automatic,4,1048576,8,1024,1024,1006,6142,2319,73452,41664,4
16,mixed-independent,automatic,4,1048576,8,1024,1024,979,5043,2676,73299,41728,4
17,mixed-independent,automatic,4,1048576,8,1024,1024,993,5041,2813,74929,41632,4
18,mixed-independent,automatic,4,1048576,8,1024,1024,1007,9286,2290,73248,41600,4
19,mixed-independent,automatic,4,1048576,8,1024,1024,983,5101,2300,73389,41920,4
20,mixed-independent,automatic,4,1048576,8,1024,1024,967,5066,2102,73706,41952,4
21,mixed-independent,automatic,4,1048576,8,1024,1024,995,5021,2259,74086,42272,4
22,mixed-independent,automatic,4,1048576,8,1024,1024,1062,5063,2136,74025,42240,4
23,mixed-independent,automatic,4,1048576,8,1024,1024,984,5043,2467,74478,41952,4
24,mixed-independent,automatic,4,1048576,8,1024,1024,1000,5090,2096,74545,42080,4
25,mixed-independent,automatic,4,1048576,8,1024,1024,991,6493,2321,74124,42240,4
26,mixed-independent,automatic,4,1048576,8,1024,1024,1027,5184,2094,73551,41696,4
27,mixed-independent,automatic,4,1048576,8,1024,1024,969,6030,2310,73420,41728,4
28,mixed-independent,automatic,4,1048576,8,1024,1024,1008,5126,2101,74836,42400,4
29,mixed-independent,automatic,4,1048576,8,1024,1024,986,6020,2342,74229,42016,4
# validation_hash,fnv1a64:9ea079123a5deb74
