# collection_id,20260725T185508Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
# timestamp_period_ns,1
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,32,1048576,8,1024,1024,209,8126,90893,441002,393344,32
1,compute-independent,tracked,32,1048576,8,1024,1024,247,9543,102858,438425,391424,32
2,compute-independent,tracked,32,1048576,8,1024,1024,252,10649,116803,439915,392288,32
3,compute-independent,tracked,32,1048576,8,1024,1024,293,10597,94658,442870,395776,32
4,compute-independent,tracked,32,1048576,8,1024,1024,268,10549,94119,438472,391648,32
5,compute-independent,tracked,32,1048576,8,1024,1024,266,10535,93812,440085,393088,32
6,compute-independent,tracked,32,1048576,8,1024,1024,251,10334,94432,437853,390848,32
7,compute-independent,tracked,32,1048576,8,1024,1024,245,10363,94264,438559,391360,32
8,compute-independent,tracked,32,1048576,8,1024,1024,251,10348,93857,439035,392640,32
9,compute-independent,tracked,32,1048576,8,1024,1024,241,10206,94059,443493,396448,32
10,compute-independent,tracked,32,1048576,8,1024,1024,279,10101,93977,438350,391392,32
11,compute-independent,tracked,32,1048576,8,1024,1024,247,10318,105872,440037,392832,32
12,compute-independent,tracked,32,1048576,8,1024,1024,260,10308,94072,438470,391232,32
13,compute-independent,tracked,32,1048576,8,1024,1024,221,10340,94267,438795,391808,32
14,compute-independent,tracked,32,1048576,8,1024,1024,268,10315,94297,438910,392480,32
15,compute-independent,tracked,32,1048576,8,1024,1024,232,10466,93904,438350,391488,32
16,compute-independent,tracked,32,1048576,8,1024,1024,247,10049,93262,439413,392416,32
17,compute-independent,tracked,32,1048576,8,1024,1024,254,9953,95311,437039,390912,32
18,compute-independent,tracked,32,1048576,8,1024,1024,307,10148,100373,440470,390688,32
19,compute-independent,tracked,32,1048576,8,1024,1024,256,11249,103974,443232,393056,32
20,compute-independent,tracked,32,1048576,8,1024,1024,309,11863,109462,441854,391840,32
21,compute-independent,tracked,32,1048576,8,1024,1024,278,12141,114865,446224,391104,32
22,compute-independent,tracked,32,1048576,8,1024,1024,349,12696,133525,567230,401952,32
23,compute-independent,tracked,32,1048576,8,1024,1024,1566,47054,463836,508812,400480,32
24,compute-independent,tracked,32,1048576,8,1024,1024,326,14420,129030,452097,392640,32
25,compute-independent,tracked,32,1048576,8,1024,1024,714,13611,134215,453163,392256,32
26,compute-independent,tracked,32,1048576,8,1024,1024,314,11518,157782,452521,391776,32
27,compute-independent,tracked,32,1048576,8,1024,1024,303,12652,148579,455289,392512,32
28,compute-independent,tracked,32,1048576,8,1024,1024,301,13154,154360,457316,392224,32
29,compute-independent,tracked,32,1048576,8,1024,1024,342,13911,163985,466455,399040,32
# validation_hash,fnv1a64:5c483422ead0cb25
