# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic-scoped,16,1048576,8,1024,1024,2404,13922,2960,205589,174944,16
1,compute-independent,automatic-scoped,16,1048576,8,1024,1024,2789,13191,2930,209531,179072,16
2,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1444,14754,2459,216434,181984,16
3,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1376,14196,2617,209180,178720,16
4,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1383,16605,2439,209840,179360,16
5,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1368,15007,2566,211422,181312,16
6,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1384,14237,2455,211592,180672,16
7,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1421,12044,2811,207912,176992,16
8,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1506,12914,2482,207017,176512,16
9,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1419,12615,2687,206488,176256,16
10,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1373,12792,2440,207490,176992,16
11,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1338,12797,2956,207286,176704,16
12,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1369,12077,2572,211420,180480,16
13,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1310,12730,2883,209849,179424,16
14,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1319,12811,2657,209279,179264,16
15,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1341,12911,2441,208104,177120,16
16,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1514,12784,2640,208940,178592,16
17,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1363,12981,2851,208726,178976,16
18,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1202,12073,2939,210224,178784,16
19,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1359,12757,2544,209323,178880,16
20,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1198,12733,2592,215214,184672,16
21,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1458,12977,2459,207080,176576,16
22,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1427,12410,2660,203714,173024,16
23,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1187,12783,2436,207241,176928,16
24,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1253,13014,2697,211692,181248,16
25,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1353,12619,2663,207332,176864,16
26,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1337,12959,2649,209457,179136,16
27,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1371,12695,2437,205494,174944,16
28,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1347,12926,2575,207318,176768,16
29,compute-independent,automatic-scoped,16,1048576,8,1024,1024,1175,15407,2610,209246,178432,16
# validation_hash,fnv1a64:f0047a40f9cd8b25
