# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic,1,1048576,8,1024,1024,888,939,1990,48367,10912,1
1,compute-independent,automatic,1,1048576,8,1024,1024,867,984,2322,45872,11296,1
2,compute-independent,automatic,1,1048576,8,1024,1024,882,949,1996,45463,10784,1
3,compute-independent,automatic,1,1048576,8,1024,1024,908,946,2307,46612,10400,1
4,compute-independent,automatic,1,1048576,8,1024,1024,934,964,2013,47080,11008,1
5,compute-independent,automatic,1,1048576,8,1024,1024,917,968,2230,47111,10400,1
6,compute-independent,automatic,1,1048576,8,1024,1024,876,1020,1993,46670,10880,1
7,compute-independent,automatic,1,1048576,8,1024,1024,862,947,2202,47017,10368,1
8,compute-independent,automatic,1,1048576,8,1024,1024,895,930,2019,47055,10816,1
9,compute-independent,automatic,1,1048576,8,1024,1024,909,952,2279,47444,10368,1
10,compute-independent,automatic,1,1048576,8,1024,1024,856,954,2062,47005,11072,1
11,compute-independent,automatic,1,1048576,8,1024,1024,909,895,2216,46849,10784,1
12,compute-independent,automatic,1,1048576,8,1024,1024,945,983,2075,47027,10720,1
13,compute-independent,automatic,1,1048576,8,1024,1024,927,995,2219,46744,11264,1
14,compute-independent,automatic,1,1048576,8,1024,1024,878,950,2199,46595,10976,1
15,compute-independent,automatic,1,1048576,8,1024,1024,905,983,1974,46883,10592,1
16,compute-independent,automatic,1,1048576,8,1024,1024,893,951,2199,47023,11200,1
17,compute-independent,automatic,1,1048576,8,1024,1024,869,952,2617,46374,10688,1
18,compute-independent,automatic,1,1048576,8,1024,1024,928,879,3126,45433,10560,1
19,compute-independent,automatic,1,1048576,8,1024,1024,930,979,2246,46674,10944,1
20,compute-independent,automatic,1,1048576,8,1024,1024,888,958,2182,46959,10816,1
21,compute-independent,automatic,1,1048576,8,1024,1024,925,937,2017,46993,11200,1
22,compute-independent,automatic,1,1048576,8,1024,1024,906,984,2234,46665,10624,1
23,compute-independent,automatic,1,1048576,8,1024,1024,902,951,2010,47067,11232,1
24,compute-independent,automatic,1,1048576,8,1024,1024,855,948,2223,46812,10688,1
25,compute-independent,automatic,1,1048576,8,1024,1024,898,952,1971,47052,11104,1
26,compute-independent,automatic,1,1048576,8,1024,1024,878,877,2181,47568,10848,1
27,compute-independent,automatic,1,1048576,8,1024,1024,877,972,2015,46718,10336,1
28,compute-independent,automatic,1,1048576,8,1024,1024,860,943,2250,46889,11136,1
29,compute-independent,automatic,1,1048576,8,1024,1024,911,973,2025,46985,10592,1
# validation_hash,fnv1a64:905b837d16859b25
