# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only,4,1048576,8,1024,1024,1412,3445,2722,74422,37696,4
1,compute-independent,hazard-only,4,1048576,8,1024,1024,1033,2089,2234,68445,37344,4
2,compute-independent,hazard-only,4,1048576,8,1024,1024,1295,2044,2009,68706,35584,4
3,compute-independent,hazard-only,4,1048576,8,1024,1024,1002,1949,2179,66587,35648,4
4,compute-independent,hazard-only,4,1048576,8,1024,1024,966,2130,2002,67239,36128,4
5,compute-independent,hazard-only,4,1048576,8,1024,1024,1009,2157,2473,67917,37248,4
6,compute-independent,hazard-only,4,1048576,8,1024,1024,968,2129,1979,68916,37632,4
7,compute-independent,hazard-only,4,1048576,8,1024,1024,970,2103,2157,68033,37280,4
8,compute-independent,hazard-only,4,1048576,8,1024,1024,961,2125,2001,67416,36064,4
9,compute-independent,hazard-only,4,1048576,8,1024,1024,961,2137,2300,66062,35424,4
10,compute-independent,hazard-only,4,1048576,8,1024,1024,1007,2109,2024,66285,35968,4
11,compute-independent,hazard-only,4,1048576,8,1024,1024,948,2108,2141,66777,35744,4
12,compute-independent,hazard-only,4,1048576,8,1024,1024,988,2103,2015,67153,35936,4
13,compute-independent,hazard-only,4,1048576,8,1024,1024,1029,2082,2156,68371,37504,4
14,compute-independent,hazard-only,4,1048576,8,1024,1024,952,2122,2199,66816,35648,4
15,compute-independent,hazard-only,4,1048576,8,1024,1024,930,2145,1984,67220,35968,4
16,compute-independent,hazard-only,4,1048576,8,1024,1024,1002,2104,2218,67481,35744,4
17,compute-independent,hazard-only,4,1048576,8,1024,1024,977,2102,2554,66000,36128,4
18,compute-independent,hazard-only,4,1048576,8,1024,1024,1089,1950,2912,67535,35904,4
19,compute-independent,hazard-only,4,1048576,8,1024,1024,1048,2197,2171,65830,35776,4
20,compute-independent,hazard-only,4,1048576,8,1024,1024,974,2114,2163,66547,35616,4
21,compute-independent,hazard-only,4,1048576,8,1024,1024,1154,2121,2050,68021,37184,4
22,compute-independent,hazard-only,4,1048576,8,1024,1024,984,2129,2180,66310,35712,4
23,compute-independent,hazard-only,4,1048576,8,1024,1024,1013,2163,2020,66557,35616,4
24,compute-independent,hazard-only,4,1048576,8,1024,1024,1037,2112,2143,66170,35552,4
25,compute-independent,hazard-only,4,1048576,8,1024,1024,940,2087,1975,67095,35232,4
26,compute-independent,hazard-only,4,1048576,8,1024,1024,951,2137,2181,67892,37248,4
27,compute-independent,hazard-only,4,1048576,8,1024,1024,968,2137,1962,66810,35616,4
28,compute-independent,hazard-only,4,1048576,8,1024,1024,982,2134,2227,66918,36320,4
29,compute-independent,hazard-only,4,1048576,8,1024,1024,1007,2097,1985,69736,37376,4
# validation_hash,fnv1a64:6865a15d5282a325
