# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1251,20664,2602,160083,128544,16
1,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1413,37259,3104,160222,128832,16
2,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1206,20337,15809,159258,129152,16
3,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1338,31474,3506,167700,130112,16
4,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,3379,20218,2682,164565,133184,16
5,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1368,32782,2830,159825,128512,16
6,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1174,34155,2667,159700,128704,16
7,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1402,21955,12193,160052,128448,16
8,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1265,19433,2699,160878,128672,16
9,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1520,19803,2864,160075,128640,16
10,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1278,19332,2585,159953,128512,16
11,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1439,20307,2916,160285,128640,16
12,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1194,19341,2853,161470,128800,16
13,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1433,20202,2860,160688,128704,16
14,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1269,19417,2795,159911,128640,16
15,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1478,19903,2580,160619,128640,16
16,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1233,19395,2794,160500,128800,16
17,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1491,20137,3316,160362,128928,16
18,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1242,19458,3469,160372,128704,16
19,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1441,19955,2826,160230,128768,16
20,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1285,19504,2829,159768,128992,16
21,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1467,20174,2667,160194,128960,16
22,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1264,19524,2866,159533,128576,16
23,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1459,20224,2691,160423,128768,16
24,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1248,19111,3075,159428,128544,16
25,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1478,20254,2632,160721,128576,16
26,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1307,19440,2931,159272,128416,16
27,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1456,20219,2800,161029,128832,16
28,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1310,19334,2840,159503,128576,16
29,graphics-chain,automatic-scoped,16,1048576,8,1024,1024,1506,20284,2630,160709,128704,16
# validation_hash,fnv1a64:de1814328067f325
