# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2263,69703,4451,563300,504992,64
1,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2318,84928,4682,562510,503872,64
2,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2311,81128,4339,564979,503936,64
3,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2467,73225,4476,567244,504512,64
4,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2345,81081,4495,564020,504096,64
5,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2232,85998,4509,563228,504640,64
6,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2187,81634,4469,563918,505408,64
7,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2364,83134,4459,562559,504064,64
8,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2317,81385,4737,565663,503744,64
9,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2337,82736,4722,567818,504224,64
10,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2368,72953,4277,565885,504768,64
11,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2335,73440,4597,566029,505632,64
12,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2364,72847,4626,564959,504224,64
13,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2339,75193,4991,563440,504704,64
14,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2412,73111,4532,565389,504384,64
15,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2364,74980,4791,565879,505120,64
16,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2435,73244,4472,564276,503904,64
17,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2393,73183,5200,564701,504384,64
18,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2299,72929,5369,564981,503808,64
19,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2275,73380,4690,565801,504800,64
20,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2384,74793,4709,564477,503904,64
21,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2388,75377,4269,564438,503712,64
22,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,3098,72712,4561,564994,504224,64
23,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2346,73266,4439,565710,504544,64
24,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2660,75046,4442,565117,504768,64
25,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2385,73496,4293,564754,503776,64
26,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2391,74993,4846,564472,504192,64
27,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2374,73050,4342,564420,503840,64
28,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2440,74633,4555,566088,505536,64
29,graphics-chain,hazard-only-scoped,64,1048576,8,1024,1024,2458,72991,4195,831139,507648,64
# validation_hash,fnv1a64:de1814328067f325
