# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,1,1048576,8,1024,1024,820,1665,3145,67708,10208,1
1,graphics-independent,automatic,1,1048576,8,1024,1024,849,1668,2090,67429,10208,1
2,graphics-independent,automatic,1,1048576,8,1024,1024,854,1668,1859,67528,10176,1
3,graphics-independent,automatic,1,1048576,8,1024,1024,832,2658,2096,67396,10144,1
4,graphics-independent,automatic,1,1048576,8,1024,1024,850,1669,1911,67272,10176,1
5,graphics-independent,automatic,1,1048576,8,1024,1024,842,1652,6213,66870,9984,1
6,graphics-independent,automatic,1,1048576,8,1024,1024,930,1672,1885,67340,9984,1
7,graphics-independent,automatic,1,1048576,8,1024,1024,842,1634,2973,67204,10048,1
8,graphics-independent,automatic,1,1048576,8,1024,1024,853,1695,1903,67106,9984,1
9,graphics-independent,automatic,1,1048576,8,1024,1024,841,1636,2090,82755,9984,1
10,graphics-independent,automatic,1,1048576,8,1024,1024,1849,1755,1958,70072,9984,1
11,graphics-independent,automatic,1,1048576,8,1024,1024,905,1727,2141,68893,10048,1
12,graphics-independent,automatic,1,1048576,8,1024,1024,869,2678,1977,69208,10016,1
13,graphics-independent,automatic,1,1048576,8,1024,1024,908,1713,2501,69208,9952,1
14,graphics-independent,automatic,1,1048576,8,1024,1024,929,1719,3186,69112,10112,1
15,graphics-independent,automatic,1,1048576,8,1024,1024,971,1766,2075,69217,9984,1
16,graphics-independent,automatic,1,1048576,8,1024,1024,906,1709,3083,72073,9952,1
17,graphics-independent,automatic,1,1048576,8,1024,1024,914,1875,2724,68563,10016,1
18,graphics-independent,automatic,1,1048576,8,1024,1024,918,1775,2714,69687,9952,1
19,graphics-independent,automatic,1,1048576,8,1024,1024,898,2702,2243,68990,9984,1
20,graphics-independent,automatic,1,1048576,8,1024,1024,891,1801,2205,69039,10080,1
21,graphics-independent,automatic,1,1048576,8,1024,1024,890,1752,2880,70991,9920,1
22,graphics-independent,automatic,1,1048576,8,1024,1024,1345,2673,3059,68384,10016,1
23,graphics-independent,automatic,1,1048576,8,1024,1024,951,1951,3176,67393,10048,1
24,graphics-independent,automatic,1,1048576,8,1024,1024,831,1744,2275,67669,10048,1
25,graphics-independent,automatic,1,1048576,8,1024,1024,824,1631,1871,67390,9952,1
26,graphics-independent,automatic,1,1048576,8,1024,1024,849,1627,3212,83723,9920,1
27,graphics-independent,automatic,1,1048576,8,1024,1024,844,1691,1854,67156,10016,1
28,graphics-independent,automatic,1,1048576,8,1024,1024,835,1613,3068,67177,9984,1
29,graphics-independent,automatic,1,1048576,8,1024,1024,862,1677,1868,72296,9984,1
# validation_hash,fnv1a64:161975f4e03e1a92
