# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,869,2998,2990,49766,18496,2
1,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,902,3055,2123,60466,28448,2
2,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,929,3191,2034,51088,18496,2
3,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,1964,3115,2278,49394,18400,2
4,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,972,3205,2016,53783,18720,2
5,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,924,4283,2226,50002,18464,2
6,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,988,3169,2007,51336,18720,2
7,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,949,3173,3688,51269,18528,2
8,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,915,3162,1992,50087,18304,2
9,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,915,3057,3548,49854,18432,2
10,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,981,3105,2012,50513,18400,2
11,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,917,3157,2214,49948,18464,2
12,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,943,4244,2073,50766,18400,2
13,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,950,3127,2250,50166,18464,2
14,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,919,3053,3265,50052,18464,2
15,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,932,3235,2019,50599,18400,2
16,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,946,3122,3260,49997,18464,2
17,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,920,3135,2612,50154,18432,2
18,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,936,3063,2742,50762,18432,2
19,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,1957,3179,2241,50163,18432,2
20,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,981,3163,2391,49865,18368,2
21,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,924,4071,2017,50283,18464,2
22,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,933,3126,2235,49901,18496,2
23,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,907,3079,5527,50634,18528,2
24,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,939,3154,2214,50140,18560,2
25,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,947,3033,2049,52504,18464,2
26,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,925,3083,3631,52747,18496,2
27,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,931,3307,2042,53562,18400,2
28,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,907,4120,2321,49911,18400,2
29,graphics-independent,explicit-all-scoped,2,1048576,8,1024,1024,967,3156,1999,50590,18336,2
# validation_hash,fnv1a64:161975f4e03e1a92
