# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2733,61750,4479,655492,624960,64
1,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2475,61467,4262,656212,625728,64
2,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2823,61488,4314,657173,626400,64
3,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2760,63952,4301,658065,626112,64
4,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2782,61655,4504,657618,627360,64
5,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2728,63357,4103,655640,625152,64
6,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2825,63879,4233,658283,627456,64
7,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2785,61656,4124,658075,627616,64
8,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2850,63694,4832,658839,628576,64
9,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2701,61767,4147,657113,627456,64
10,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2581,63989,4225,657990,627648,64
11,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2718,63213,4414,655684,624960,64
12,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2819,62326,4278,656609,625472,64
13,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2569,61366,7905,657105,626496,64
14,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2566,61541,4306,677457,639680,64
15,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,5384,104422,6437,663110,627680,64
16,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,7708,130441,9822,661979,628128,64
17,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,5800,86549,11597,660095,628928,64
18,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2879,80495,4695,657327,626688,64
19,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2863,75152,4847,658436,627616,64
20,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2507,75104,4393,660377,628480,64
21,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2559,66725,4419,658685,628448,64
22,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2472,78073,4240,658021,626144,64
23,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2917,64649,4779,661163,628256,64
24,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2856,67675,4219,656971,625600,64
25,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2854,72844,4645,658914,627392,64
26,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2607,64846,4642,657780,626208,64
27,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2828,64145,4390,657656,626208,64
28,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2816,67602,4263,660099,627904,64
29,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,2927,67180,4550,658421,626496,64
# validation_hash,fnv1a64:0fb17d52b045dcc6
