# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only,1,1048576,8,1024,1024,828,620,3398,46233,10912,1
1,mixed-chain,hazard-only,1,1048576,8,1024,1024,833,586,1917,42068,10784,1
2,mixed-chain,hazard-only,1,1048576,8,1024,1024,831,626,2108,45456,10336,1
3,mixed-chain,hazard-only,1,1048576,8,1024,1024,1066,607,1911,45161,11072,1
4,mixed-chain,hazard-only,1,1048576,8,1024,1024,862,565,2053,45380,11072,1
5,mixed-chain,hazard-only,1,1048576,8,1024,1024,821,610,1872,45514,11296,1
6,mixed-chain,hazard-only,1,1048576,8,1024,1024,857,601,2102,45883,10464,1
7,mixed-chain,hazard-only,1,1048576,8,1024,1024,903,608,3086,44224,11296,1
8,mixed-chain,hazard-only,1,1048576,8,1024,1024,865,614,2183,45302,10880,1
9,mixed-chain,hazard-only,1,1048576,8,1024,1024,816,600,1858,48289,10944,1
10,mixed-chain,hazard-only,1,1048576,8,1024,1024,871,656,2172,46009,10464,1
11,mixed-chain,hazard-only,1,1048576,8,1024,1024,879,633,1991,49103,11168,1
12,mixed-chain,hazard-only,1,1048576,8,1024,1024,830,631,2096,45193,11360,1
13,mixed-chain,hazard-only,1,1048576,8,1024,1024,807,529,2143,45113,10912,1
14,mixed-chain,hazard-only,1,1048576,8,1024,1024,821,619,2796,44426,10944,1
15,mixed-chain,hazard-only,1,1048576,8,1024,1024,871,606,2060,45106,10624,1
16,mixed-chain,hazard-only,1,1048576,8,1024,1024,853,592,2373,44758,11008,1
17,mixed-chain,hazard-only,1,1048576,8,1024,1024,863,579,2767,44698,11040,1
18,mixed-chain,hazard-only,1,1048576,8,1024,1024,856,608,2058,45076,10496,1
19,mixed-chain,hazard-only,1,1048576,8,1024,1024,842,608,2042,45241,11136,1
20,mixed-chain,hazard-only,1,1048576,8,1024,1024,823,652,1862,45537,11328,1
21,mixed-chain,hazard-only,1,1048576,8,1024,1024,852,546,3101,45307,10784,1
22,mixed-chain,hazard-only,1,1048576,8,1024,1024,883,594,1889,44389,11136,1
23,mixed-chain,hazard-only,1,1048576,8,1024,1024,857,628,2114,45056,11200,1
24,mixed-chain,hazard-only,1,1048576,8,1024,1024,851,613,1937,45816,10560,1
25,mixed-chain,hazard-only,1,1048576,8,1024,1024,863,600,2111,45185,10816,1
26,mixed-chain,hazard-only,1,1048576,8,1024,1024,829,605,1857,45211,10624,1
27,mixed-chain,hazard-only,1,1048576,8,1024,1024,863,597,2102,45050,11264,1
28,mixed-chain,hazard-only,1,1048576,8,1024,1024,834,604,2780,46282,10656,1
29,mixed-chain,hazard-only,1,1048576,8,1024,1024,886,604,2121,45522,10400,1
# validation_hash,fnv1a64:905b837d16859b25
