# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3492,65752,5029,687196,655168,64
1,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2769,64880,4129,688021,655488,64
2,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2692,64510,4356,687400,655264,64
3,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3057,64696,4166,687735,655264,64
4,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3179,68732,4608,688835,656960,64
5,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2782,68614,4194,686216,655040,64
6,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2599,65148,4395,687597,656000,64
7,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3182,67273,4153,688249,655968,64
8,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3124,68363,4435,688675,655360,64
9,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3192,86226,4476,730000,694368,64
10,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2556,76871,4482,688269,656160,64
11,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3083,68992,4256,688778,655296,64
12,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,2838,64216,4380,687794,656000,64
13,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3093,69420,4443,687800,655616,64
14,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3141,72566,4412,703025,669248,64
15,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3264,76232,5195,690541,655904,64
16,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3509,83986,5765,690047,654880,64
17,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3163,83511,6671,694261,656256,64
18,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3945,95100,6017,694134,655616,64
19,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,3804,89231,6039,699315,659744,64
20,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,4117,103625,6418,697551,655264,64
21,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,4441,108221,6794,703276,655264,64
22,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,4690,105510,6866,698170,655104,64
23,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,7552,117754,7030,699546,655232,64
24,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,4905,121454,7141,701708,655552,64
25,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,4673,117378,7816,703921,656672,64
26,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,5372,130257,8061,704321,655136,64
27,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,5488,137468,8514,706338,655840,64
28,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,5990,146189,8879,729917,677696,64
29,mixed-independent,explicit-all-scoped,64,1048576,8,1024,1024,6110,152042,10161,709884,656384,64
# validation_hash,fnv1a64:66cb7d70c35c8383
