# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all,4,1048576,8,1024,1024,1875,4806,2190,72856,42336,4
1,mixed-independent,explicit-all,4,1048576,8,1024,1024,947,4851,3037,73250,42176,4
2,mixed-independent,explicit-all,4,1048576,8,1024,1024,999,4771,2234,72599,41696,4
3,mixed-independent,explicit-all,4,1048576,8,1024,1024,975,5941,2052,73213,41952,4
4,mixed-independent,explicit-all,4,1048576,8,1024,1024,1135,4786,2231,72539,41856,4
5,mixed-independent,explicit-all,4,1048576,8,1024,1024,957,5841,2139,73503,42528,4
6,mixed-independent,explicit-all,4,1048576,8,1024,1024,1022,4875,2200,72731,42016,4
7,mixed-independent,explicit-all,4,1048576,8,1024,1024,982,5922,2044,72824,41664,4
8,mixed-independent,explicit-all,4,1048576,8,1024,1024,1057,4833,2296,72575,41984,4
9,mixed-independent,explicit-all,4,1048576,8,1024,1024,4253,4827,2056,72749,41728,4
10,mixed-independent,explicit-all,4,1048576,8,1024,1024,973,6102,2186,72692,41856,4
11,mixed-independent,explicit-all,4,1048576,8,1024,1024,1020,4882,2050,72806,41632,4
12,mixed-independent,explicit-all,4,1048576,8,1024,1024,999,5885,2272,72713,41792,4
13,mixed-independent,explicit-all,4,1048576,8,1024,1024,998,4800,2464,72661,41888,4
14,mixed-independent,explicit-all,4,1048576,8,1024,1024,1000,5883,2105,73714,42688,4
15,mixed-independent,explicit-all,4,1048576,8,1024,1024,993,4906,2304,72598,41888,4
16,mixed-independent,explicit-all,4,1048576,8,1024,1024,977,5847,2826,72173,42016,4
17,mixed-independent,explicit-all,4,1048576,8,1024,1024,974,4859,2859,74164,41824,4
18,mixed-independent,explicit-all,4,1048576,8,1024,1024,1030,6169,2211,73631,42592,4
19,mixed-independent,explicit-all,4,1048576,8,1024,1024,978,4868,2185,72622,41728,4
20,mixed-independent,explicit-all,4,1048576,8,1024,1024,964,4824,2029,72930,41792,4
21,mixed-independent,explicit-all,4,1048576,8,1024,1024,1011,6988,2295,72757,42208,4
22,mixed-independent,explicit-all,4,1048576,8,1024,1024,962,4913,2053,72798,41600,4
23,mixed-independent,explicit-all,4,1048576,8,1024,1024,1008,4790,2225,72747,41952,4
24,mixed-independent,explicit-all,4,1048576,8,1024,1024,953,4836,2043,72986,41696,4
25,mixed-independent,explicit-all,4,1048576,8,1024,1024,1005,4798,2254,72918,42272,4
26,mixed-independent,explicit-all,4,1048576,8,1024,1024,943,4744,2019,73285,41888,4
27,mixed-independent,explicit-all,4,1048576,8,1024,1024,957,5857,2223,72716,42016,4
28,mixed-independent,explicit-all,4,1048576,8,1024,1024,1031,4901,2107,73061,41600,4
29,mixed-independent,explicit-all,4,1048576,8,1024,1024,2033,4730,2271,72533,41920,4
# validation_hash,fnv1a64:9ea079123a5deb74
