# collection_id,20260725T185508Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1084,6602,2157,100503,69952,8
1,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1296,6674,2051,101112,69984,8
2,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1069,6682,2297,100507,69952,8
3,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1060,6596,3053,100752,70016,8
4,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1088,6508,2244,100893,70080,8
5,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1078,6687,1986,101019,70016,8
6,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1074,6649,2210,102084,69984,8
7,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1112,6842,1998,100956,70048,8
8,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1109,6676,2288,100642,70176,8
9,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1076,6632,2021,100950,69920,8
10,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1070,6625,3138,100521,69984,8
11,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1051,6675,1996,101010,69984,8
12,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1101,6706,2184,100894,70016,8
13,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1064,6718,2228,100690,70048,8
14,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1107,6688,2022,101310,70432,8
15,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1089,6685,2149,102495,70080,8
16,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1121,6668,2715,101015,70112,8
17,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1118,6530,3804,102236,69888,8
18,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1105,6655,2155,100855,70048,8
19,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1106,6604,2163,100575,70016,8
20,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1097,6869,2010,100929,70144,8
21,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1085,6612,2438,100352,69952,8
22,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1048,6679,2013,100782,69952,8
23,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1080,6808,2228,100839,70016,8
24,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1105,6614,2989,100984,69984,8
25,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1084,6730,2225,100703,70016,8
26,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1154,6830,2062,101107,70048,8
27,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1073,6608,2393,100416,70016,8
28,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1102,6572,2004,101047,70080,8
29,mixed-independent,hazard-only-scoped,8,1048576,8,1024,1024,1050,6639,2394,100807,70080,8
# validation_hash,fnv1a64:3f7b4790d0b4ebb8
