# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic,16,1048576,8,1024,1024,681,13834,3383,196702,0,0
1,compute-chain,automatic,16,1048576,8,1024,1024,2766,13200,2740,194173,0,0
2,compute-chain,automatic,16,1048576,8,1024,1024,741,27319,2703,196235,0,0
3,compute-chain,automatic,16,1048576,8,1024,1024,694,14583,2688,196211,0,0
4,compute-chain,automatic,16,1048576,8,1024,1024,755,14474,2581,195092,0,0
5,compute-chain,automatic,16,1048576,8,1024,1024,655,15365,2720,194220,0,0
6,compute-chain,automatic,16,1048576,8,1024,1024,673,12692,2576,195389,0,0
7,compute-chain,automatic,16,1048576,8,1024,1024,741,12805,2746,194385,0,0
8,compute-chain,automatic,16,1048576,8,1024,1024,723,12506,2506,197278,0,0
9,compute-chain,automatic,16,1048576,8,1024,1024,771,12498,2864,195895,0,0
10,compute-chain,automatic,16,1048576,8,1024,1024,811,12477,2510,196989,0,0
11,compute-chain,automatic,16,1048576,8,1024,1024,674,12667,2687,196764,0,0
12,compute-chain,automatic,16,1048576,8,1024,1024,732,12839,2531,196921,0,0
13,compute-chain,automatic,16,1048576,8,1024,1024,809,12696,2707,192706,0,0
14,compute-chain,automatic,16,1048576,8,1024,1024,680,12698,3233,198062,0,0
15,compute-chain,automatic,16,1048576,8,1024,1024,742,12902,2545,199268,0,0
16,compute-chain,automatic,16,1048576,8,1024,1024,696,12712,2685,196534,0,0
17,compute-chain,automatic,16,1048576,8,1024,1024,776,12755,3052,199398,0,0
18,compute-chain,automatic,16,1048576,8,1024,1024,729,12484,3017,192680,0,0
19,compute-chain,automatic,16,1048576,8,1024,1024,625,12519,2710,193033,0,0
20,compute-chain,automatic,16,1048576,8,1024,1024,733,12626,2669,192767,0,0
21,compute-chain,automatic,16,1048576,8,1024,1024,730,12746,2505,197065,0,0
22,compute-chain,automatic,16,1048576,8,1024,1024,712,12808,2759,196014,0,0
23,compute-chain,automatic,16,1048576,8,1024,1024,755,13019,2506,198472,0,0
24,compute-chain,automatic,16,1048576,8,1024,1024,606,12792,2725,194387,0,0
25,compute-chain,automatic,16,1048576,8,1024,1024,702,12643,2492,192187,0,0
26,compute-chain,automatic,16,1048576,8,1024,1024,710,12575,2718,194226,0,0
27,compute-chain,automatic,16,1048576,8,1024,1024,730,12851,2704,196565,0,0
28,compute-chain,automatic,16,1048576,8,1024,1024,697,12253,2760,196910,0,0
29,compute-chain,automatic,16,1048576,8,1024,1024,702,12805,2561,196911,0,0
# validation_hash,fnv1a64:1051691fc9daa325
