# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,explicit-all,64,1048576,8,1024,1024,1046,43746,4179,750662,0,0
1,compute-chain,explicit-all,64,1048576,8,1024,1024,1130,45698,4610,739938,0,0
2,compute-chain,explicit-all,64,1048576,8,1024,1024,1447,61606,4234,693588,0,0
3,compute-chain,explicit-all,64,1048576,8,1024,1024,1365,62754,4559,688336,0,0
4,compute-chain,explicit-all,64,1048576,8,1024,1024,1367,56303,4555,704430,0,0
5,compute-chain,explicit-all,64,1048576,8,1024,1024,1281,56581,4295,705584,0,0
6,compute-chain,explicit-all,64,1048576,8,1024,1024,1242,60253,4230,690423,0,0
7,compute-chain,explicit-all,64,1048576,8,1024,1024,1011,48153,4453,695567,0,0
8,compute-chain,explicit-all,64,1048576,8,1024,1024,1247,58185,4390,709721,0,0
9,compute-chain,explicit-all,64,1048576,8,1024,1024,1340,58833,4426,700140,0,0
10,compute-chain,explicit-all,64,1048576,8,1024,1024,1057,47367,4194,693142,0,0
11,compute-chain,explicit-all,64,1048576,8,1024,1024,1308,60290,4319,701193,0,0
12,compute-chain,explicit-all,64,1048576,8,1024,1024,1419,46705,4419,687785,0,0
13,compute-chain,explicit-all,64,1048576,8,1024,1024,895,48783,4594,692740,0,0
14,compute-chain,explicit-all,64,1048576,8,1024,1024,1128,52584,4777,690837,0,0
15,compute-chain,explicit-all,64,1048576,8,1024,1024,1428,58303,4960,692882,0,0
16,compute-chain,explicit-all,64,1048576,8,1024,1024,1715,57299,5492,696100,0,0
17,compute-chain,explicit-all,64,1048576,8,1024,1024,1745,61470,6222,705138,0,0
18,compute-chain,explicit-all,64,1048576,8,1024,1024,1734,62385,6975,700289,0,0
19,compute-chain,explicit-all,64,1048576,8,1024,1024,1978,67316,6485,712749,0,0
20,compute-chain,explicit-all,64,1048576,8,1024,1024,2055,70637,9580,701610,0,0
21,compute-chain,explicit-all,64,1048576,8,1024,1024,1504,74797,6756,709253,0,0
22,compute-chain,explicit-all,64,1048576,8,1024,1024,2308,77695,7747,709415,0,0
23,compute-chain,explicit-all,64,1048576,8,1024,1024,1778,87456,7610,720859,0,0
24,compute-chain,explicit-all,64,1048576,8,1024,1024,2513,92067,8361,719610,0,0
25,compute-chain,explicit-all,64,1048576,8,1024,1024,2558,92565,7790,722670,0,0
26,compute-chain,explicit-all,64,1048576,8,1024,1024,2720,93969,9053,718544,0,0
27,compute-chain,explicit-all,64,1048576,8,1024,1024,1977,104842,9229,738846,0,0
28,compute-chain,explicit-all,64,1048576,8,1024,1024,2810,111161,9615,745475,0,0
29,compute-chain,explicit-all,64,1048576,8,1024,1024,3082,114368,9776,738267,0,0
# validation_hash,fnv1a64:a3a6bc76b771ab25
