# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,automatic,4,1048576,8,1024,1024,599,5562,3099,95474,0,0
1,graphics-independent,automatic,4,1048576,8,1024,1024,594,5882,2358,95967,0,0
2,graphics-independent,automatic,4,1048576,8,1024,1024,578,6667,2296,95538,0,0
3,graphics-independent,automatic,4,1048576,8,1024,1024,593,5564,2288,94681,0,0
4,graphics-independent,automatic,4,1048576,8,1024,1024,1665,5630,2069,95220,0,0
5,graphics-independent,automatic,4,1048576,8,1024,1024,596,5534,3971,96290,0,0
6,graphics-independent,automatic,4,1048576,8,1024,1024,606,5599,2145,96632,0,0
7,graphics-independent,automatic,4,1048576,8,1024,1024,541,7070,2293,96488,0,0
8,graphics-independent,automatic,4,1048576,8,1024,1024,533,5609,3127,95144,0,0
9,graphics-independent,automatic,4,1048576,8,1024,1024,539,5535,5851,93099,0,0
10,graphics-independent,automatic,4,1048576,8,1024,1024,585,6949,2184,95571,0,0
11,graphics-independent,automatic,4,1048576,8,1024,1024,605,5535,2242,94826,0,0
12,graphics-independent,automatic,4,1048576,8,1024,1024,1707,5647,2129,94884,0,0
13,graphics-independent,automatic,4,1048576,8,1024,1024,589,5568,3363,94838,0,0
14,graphics-independent,automatic,4,1048576,8,1024,1024,559,5589,2278,94732,0,0
15,graphics-independent,automatic,4,1048576,8,1024,1024,547,5633,4365,95960,0,0
16,graphics-independent,automatic,4,1048576,8,1024,1024,554,5518,3340,99381,0,0
17,graphics-independent,automatic,4,1048576,8,1024,1024,762,8751,4547,106690,0,0
18,graphics-independent,automatic,4,1048576,8,1024,1024,780,11174,5148,102521,0,0
19,graphics-independent,automatic,4,1048576,8,1024,1024,775,8964,3459,103848,0,0
20,graphics-independent,automatic,4,1048576,8,1024,1024,3219,7326,3415,96232,0,0
21,graphics-independent,automatic,4,1048576,8,1024,1024,611,6753,2185,95587,0,0
22,graphics-independent,automatic,4,1048576,8,1024,1024,562,5577,2258,95158,0,0
23,graphics-independent,automatic,4,1048576,8,1024,1024,592,6859,2056,95364,0,0
24,graphics-independent,automatic,4,1048576,8,1024,1024,539,5557,3891,94695,0,0
25,graphics-independent,automatic,4,1048576,8,1024,1024,553,5507,2048,95107,0,0
26,graphics-independent,automatic,4,1048576,8,1024,1024,542,10374,2328,95476,0,0
27,graphics-independent,automatic,4,1048576,8,1024,1024,540,5447,2033,95348,0,0
28,graphics-independent,automatic,4,1048576,8,1024,1024,1559,5559,2271,95500,0,0
29,graphics-independent,automatic,4,1048576,8,1024,1024,562,6685,2089,95126,0,0
# validation_hash,fnv1a64:161975f4e03e1a92
