# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,explicit-all,16,1048576,8,1024,1024,594,21874,2328,214478,0,0
1,graphics-independent,explicit-all,16,1048576,8,1024,1024,571,22000,2755,169905,0,0
2,graphics-independent,explicit-all,16,1048576,8,1024,1024,556,22288,2337,170586,0,0
3,graphics-independent,explicit-all,16,1048576,8,1024,1024,555,21410,3087,172012,0,0
4,graphics-independent,explicit-all,16,1048576,8,1024,1024,1605,21434,2816,170172,0,0
5,graphics-independent,explicit-all,16,1048576,8,1024,1024,1647,21296,2575,170121,0,0
6,graphics-independent,explicit-all,16,1048576,8,1024,1024,582,21530,2426,170810,0,0
7,graphics-independent,explicit-all,16,1048576,8,1024,1024,563,20440,2626,170301,0,0
8,graphics-independent,explicit-all,16,1048576,8,1024,1024,560,20392,2423,169542,0,0
9,graphics-independent,explicit-all,16,1048576,8,1024,1024,562,20413,2645,170330,0,0
10,graphics-independent,explicit-all,16,1048576,8,1024,1024,580,20437,2313,170317,0,0
11,graphics-independent,explicit-all,16,1048576,8,1024,1024,577,20064,2659,169955,0,0
12,graphics-independent,explicit-all,16,1048576,8,1024,1024,579,20286,2366,170059,0,0
13,graphics-independent,explicit-all,16,1048576,8,1024,1024,594,20328,2511,170912,0,0
14,graphics-independent,explicit-all,16,1048576,8,1024,1024,600,20376,2705,170317,0,0
15,graphics-independent,explicit-all,16,1048576,8,1024,1024,589,20401,2368,170947,0,0
16,graphics-independent,explicit-all,16,1048576,8,1024,1024,567,19978,2546,170541,0,0
17,graphics-independent,explicit-all,16,1048576,8,1024,1024,563,20354,2904,170595,0,0
18,graphics-independent,explicit-all,16,1048576,8,1024,1024,598,20196,3243,171443,0,0
19,graphics-independent,explicit-all,16,1048576,8,1024,1024,573,19864,2654,170702,0,0
20,graphics-independent,explicit-all,16,1048576,8,1024,1024,583,20502,2544,171906,0,0
21,graphics-independent,explicit-all,16,1048576,8,1024,1024,595,20305,2430,170466,0,0
22,graphics-independent,explicit-all,16,1048576,8,1024,1024,553,20252,2559,170340,0,0
23,graphics-independent,explicit-all,16,1048576,8,1024,1024,565,20402,2320,170624,0,0
24,graphics-independent,explicit-all,16,1048576,8,1024,1024,580,20341,2533,170218,0,0
25,graphics-independent,explicit-all,16,1048576,8,1024,1024,577,20295,2359,170579,0,0
26,graphics-independent,explicit-all,16,1048576,8,1024,1024,588,20381,2808,170324,0,0
27,graphics-independent,explicit-all,16,1048576,8,1024,1024,588,20518,2328,170325,0,0
28,graphics-independent,explicit-all,16,1048576,8,1024,1024,557,20185,2533,169931,0,0
29,graphics-independent,explicit-all,16,1048576,8,1024,1024,574,20227,2361,170919,0,0
# validation_hash,fnv1a64:161975f4e03e1a92
