# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all,1,1048576,8,1024,1024,495,889,2221,46195,0,0
1,mixed-chain,explicit-all,1,1048576,8,1024,1024,515,856,3239,44572,0,0
2,mixed-chain,explicit-all,1,1048576,8,1024,1024,518,902,2156,46944,0,0
3,mixed-chain,explicit-all,1,1048576,8,1024,1024,521,918,1990,51945,0,0
4,mixed-chain,explicit-all,1,1048576,8,1024,1024,523,951,2162,50540,0,0
5,mixed-chain,explicit-all,1,1048576,8,1024,1024,478,890,2849,47616,0,0
6,mixed-chain,explicit-all,1,1048576,8,1024,1024,516,945,2167,50643,0,0
7,mixed-chain,explicit-all,1,1048576,8,1024,1024,504,895,1874,58482,0,0
8,mixed-chain,explicit-all,1,1048576,8,1024,1024,537,931,2269,50174,0,0
9,mixed-chain,explicit-all,1,1048576,8,1024,1024,511,1882,4454,54766,0,0
10,mixed-chain,explicit-all,1,1048576,8,1024,1024,519,897,2050,42775,0,0
11,mixed-chain,explicit-all,1,1048576,8,1024,1024,502,938,1879,45231,0,0
12,mixed-chain,explicit-all,1,1048576,8,1024,1024,484,890,2987,44326,0,0
13,mixed-chain,explicit-all,1,1048576,8,1024,1024,578,897,2076,45447,0,0
14,mixed-chain,explicit-all,1,1048576,8,1024,1024,538,891,1889,44973,0,0
15,mixed-chain,explicit-all,1,1048576,8,1024,1024,519,881,2099,45400,0,0
16,mixed-chain,explicit-all,1,1048576,8,1024,1024,505,895,3272,44384,0,0
17,mixed-chain,explicit-all,1,1048576,8,1024,1024,485,920,2512,44484,0,0
18,mixed-chain,explicit-all,1,1048576,8,1024,1024,492,878,2054,45522,0,0
19,mixed-chain,explicit-all,1,1048576,8,1024,1024,499,890,2024,45103,0,0
20,mixed-chain,explicit-all,1,1048576,8,1024,1024,486,1815,1928,44129,0,0
21,mixed-chain,explicit-all,1,1048576,8,1024,1024,502,839,2058,45489,0,0
22,mixed-chain,explicit-all,1,1048576,8,1024,1024,492,915,1877,45223,0,0
23,mixed-chain,explicit-all,1,1048576,8,1024,1024,478,866,2062,45219,0,0
24,mixed-chain,explicit-all,1,1048576,8,1024,1024,1399,915,1917,44506,0,0
25,mixed-chain,explicit-all,1,1048576,8,1024,1024,498,898,2076,44569,0,0
26,mixed-chain,explicit-all,1,1048576,8,1024,1024,481,881,1863,45287,0,0
27,mixed-chain,explicit-all,1,1048576,8,1024,1024,496,880,2945,44511,0,0
28,mixed-chain,explicit-all,1,1048576,8,1024,1024,539,868,1883,44693,0,0
29,mixed-chain,explicit-all,1,1048576,8,1024,1024,512,946,2159,50477,0,0
# validation_hash,fnv1a64:905b837d16859b25
