# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1026,60470,4613,664332,0,0
1,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1889,64091,6450,664343,0,0
2,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1273,59872,4837,652018,0,0
3,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1079,58829,4327,651019,0,0
4,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,792,61161,4810,651201,0,0
5,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,824,58821,4438,652238,0,0
6,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,958,75564,4609,652757,0,0
7,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,740,61355,4271,661679,0,0
8,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1054,60157,4886,651230,0,0
9,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1026,73362,4537,651863,0,0
10,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1033,59241,4408,650220,0,0
11,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1004,60653,4062,652436,0,0
12,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1043,60871,4519,657887,0,0
13,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1040,58963,4609,656843,0,0
14,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1107,66512,4158,652471,0,0
15,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1011,60564,4517,650643,0,0
16,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1086,62792,5190,660525,0,0
17,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,830,63428,5791,652602,0,0
18,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,843,71839,5053,662145,0,0
19,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1249,69511,5431,658440,0,0
20,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1314,78818,5254,656341,0,0
21,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1143,79977,6073,656035,0,0
22,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1287,85836,5994,662756,0,0
23,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1172,93257,6913,659772,0,0
24,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1635,90106,6433,660347,0,0
25,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1739,100547,7035,661572,0,0
26,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1768,103415,7225,669095,0,0
27,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1728,108104,8354,667365,0,0
28,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1808,110931,7541,679473,0,0
29,mixed-chain,hazard-only-scoped,64,1048576,8,1024,1024,1960,115594,8507,668087,0,0
# validation_hash,fnv1a64:0fb17d52b045dcc6
