# collection_id,20260725T190100Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
# timestamp_period_ns,0
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,tracked,1,1048576,8,1024,1024,179,275,5908,41724,0,0
1,compute-chain,tracked,1,1048576,8,1024,1024,179,256,5663,49543,0,0
2,compute-chain,tracked,1,1048576,8,1024,1024,183,275,6316,44100,0,0
3,compute-chain,tracked,1,1048576,8,1024,1024,161,262,6214,43316,0,0
4,compute-chain,tracked,1,1048576,8,1024,1024,171,261,5901,44907,0,0
5,compute-chain,tracked,1,1048576,8,1024,1024,179,260,5940,42615,0,0
6,compute-chain,tracked,1,1048576,8,1024,1024,179,275,6065,42279,0,0
7,compute-chain,tracked,1,1048576,8,1024,1024,1306,260,5945,45920,0,0
8,compute-chain,tracked,1,1048576,8,1024,1024,185,320,6369,41796,0,0
9,compute-chain,tracked,1,1048576,8,1024,1024,175,284,6142,40935,0,0
10,compute-chain,tracked,1,1048576,8,1024,1024,181,289,6042,41532,0,0
11,compute-chain,tracked,1,1048576,8,1024,1024,187,264,9516,42968,0,0
12,compute-chain,tracked,1,1048576,8,1024,1024,191,278,6149,45104,0,0
13,compute-chain,tracked,1,1048576,8,1024,1024,172,265,5743,44224,0,0
14,compute-chain,tracked,1,1048576,8,1024,1024,175,266,6327,41112,0,0
15,compute-chain,tracked,1,1048576,8,1024,1024,185,312,6035,42080,0,0
16,compute-chain,tracked,1,1048576,8,1024,1024,186,269,6276,41715,0,0
17,compute-chain,tracked,1,1048576,8,1024,1024,185,274,7060,40112,0,0
18,compute-chain,tracked,1,1048576,8,1024,1024,195,285,6962,40852,0,0
19,compute-chain,tracked,1,1048576,8,1024,1024,178,348,6067,41935,0,0
20,compute-chain,tracked,1,1048576,8,1024,1024,182,312,6267,41638,0,0
21,compute-chain,tracked,1,1048576,8,1024,1024,206,299,6141,42055,0,0
22,compute-chain,tracked,1,1048576,8,1024,1024,197,311,6287,41807,0,0
23,compute-chain,tracked,1,1048576,8,1024,1024,187,282,6121,40980,0,0
24,compute-chain,tracked,1,1048576,8,1024,1024,189,289,6289,44718,0,0
25,compute-chain,tracked,1,1048576,8,1024,1024,188,301,6073,41094,0,0
26,compute-chain,tracked,1,1048576,8,1024,1024,188,287,6506,41721,0,0
27,compute-chain,tracked,1,1048576,8,1024,1024,183,286,6333,42740,0,0
28,compute-chain,tracked,1,1048576,8,1024,1024,191,282,6092,43828,0,0
29,compute-chain,tracked,1,1048576,8,1024,1024,191,283,6300,42065,0,0
# validation_hash,fnv1a64:905b837d16859b25
