# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,automatic-scoped,1,1048576,8,1024,1024,539,950,2049,48575,0,0
1,compute-independent,automatic-scoped,1,1048576,8,1024,1024,562,1014,2221,44736,0,0
2,compute-independent,automatic-scoped,1,1048576,8,1024,1024,554,940,2001,47301,0,0
3,compute-independent,automatic-scoped,1,1048576,8,1024,1024,566,916,2194,46314,0,0
4,compute-independent,automatic-scoped,1,1048576,8,1024,1024,543,936,2045,47151,0,0
5,compute-independent,automatic-scoped,1,1048576,8,1024,1024,543,938,2172,46863,0,0
6,compute-independent,automatic-scoped,1,1048576,8,1024,1024,549,923,2028,47106,0,0
7,compute-independent,automatic-scoped,1,1048576,8,1024,1024,544,932,2232,46877,0,0
8,compute-independent,automatic-scoped,1,1048576,8,1024,1024,559,930,1946,47096,0,0
9,compute-independent,automatic-scoped,1,1048576,8,1024,1024,559,960,2270,46845,0,0
10,compute-independent,automatic-scoped,1,1048576,8,1024,1024,543,916,1998,47198,0,0
11,compute-independent,automatic-scoped,1,1048576,8,1024,1024,589,935,2163,46819,0,0
12,compute-independent,automatic-scoped,1,1048576,8,1024,1024,543,929,2041,47214,0,0
13,compute-independent,automatic-scoped,1,1048576,8,1024,1024,547,937,2209,46854,0,0
14,compute-independent,automatic-scoped,1,1048576,8,1024,1024,552,966,2175,46917,0,0
15,compute-independent,automatic-scoped,1,1048576,8,1024,1024,578,930,2012,47135,0,0
16,compute-independent,automatic-scoped,1,1048576,8,1024,1024,539,923,2229,46925,0,0
17,compute-independent,automatic-scoped,1,1048576,8,1024,1024,570,939,2498,46607,0,0
18,compute-independent,automatic-scoped,1,1048576,8,1024,1024,603,920,2776,46048,0,0
19,compute-independent,automatic-scoped,1,1048576,8,1024,1024,564,949,2132,46939,0,0
20,compute-independent,automatic-scoped,1,1048576,8,1024,1024,548,926,4222,45499,0,0
21,compute-independent,automatic-scoped,1,1048576,8,1024,1024,537,930,1962,46054,0,0
22,compute-independent,automatic-scoped,1,1048576,8,1024,1024,545,947,2244,47037,0,0
23,compute-independent,automatic-scoped,1,1048576,8,1024,1024,544,931,2037,47222,0,0
24,compute-independent,automatic-scoped,1,1048576,8,1024,1024,552,963,2245,46723,0,0
25,compute-independent,automatic-scoped,1,1048576,8,1024,1024,551,941,1962,47311,0,0
26,compute-independent,automatic-scoped,1,1048576,8,1024,1024,542,938,2226,46861,0,0
27,compute-independent,automatic-scoped,1,1048576,8,1024,1024,548,916,2036,47071,0,0
28,compute-independent,automatic-scoped,1,1048576,8,1024,1024,548,953,2170,46924,0,0
29,compute-independent,automatic-scoped,1,1048576,8,1024,1024,589,941,1960,47084,0,0
# validation_hash,fnv1a64:905b837d16859b25
