# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,explicit-all,32,1048576,8,1024,1024,941,23083,2934,446103,0,0
1,compute-independent,explicit-all,32,1048576,8,1024,1024,1031,24314,3345,416598,0,0
2,compute-independent,explicit-all,32,1048576,8,1024,1024,977,25193,3118,418407,0,0
3,compute-independent,explicit-all,32,1048576,8,1024,1024,1013,24737,3498,412283,0,0
4,compute-independent,explicit-all,32,1048576,8,1024,1024,954,37410,3228,416229,0,0
5,compute-independent,explicit-all,32,1048576,8,1024,1024,730,36172,3237,423326,0,0
6,compute-independent,explicit-all,32,1048576,8,1024,1024,921,25599,3165,421452,0,0
7,compute-independent,explicit-all,32,1048576,8,1024,1024,934,25508,3322,424773,0,0
8,compute-independent,explicit-all,32,1048576,8,1024,1024,1028,24300,3130,425524,0,0
9,compute-independent,explicit-all,32,1048576,8,1024,1024,999,25561,3289,424436,0,0
10,compute-independent,explicit-all,32,1048576,8,1024,1024,1055,25756,3252,419034,0,0
11,compute-independent,explicit-all,32,1048576,8,1024,1024,749,25548,3376,417941,0,0
12,compute-independent,explicit-all,32,1048576,8,1024,1024,802,26402,3066,419605,0,0
13,compute-independent,explicit-all,32,1048576,8,1024,1024,973,25400,3277,421606,0,0
14,compute-independent,explicit-all,32,1048576,8,1024,1024,782,25605,3317,417544,0,0
15,compute-independent,explicit-all,32,1048576,8,1024,1024,799,25521,3132,419152,0,0
16,compute-independent,explicit-all,32,1048576,8,1024,1024,1066,24350,3272,414208,0,0
17,compute-independent,explicit-all,32,1048576,8,1024,1024,1031,25508,3625,416406,0,0
18,compute-independent,explicit-all,32,1048576,8,1024,1024,914,24143,3795,414760,0,0
19,compute-independent,explicit-all,32,1048576,8,1024,1024,1086,25742,3243,418928,0,0
20,compute-independent,explicit-all,32,1048576,8,1024,1024,807,25448,3251,423254,0,0
21,compute-independent,explicit-all,32,1048576,8,1024,1024,724,24063,3009,412520,0,0
22,compute-independent,explicit-all,32,1048576,8,1024,1024,793,25465,3419,412587,0,0
23,compute-independent,explicit-all,32,1048576,8,1024,1024,996,25554,3107,420795,0,0
24,compute-independent,explicit-all,32,1048576,8,1024,1024,1024,25545,3183,410633,0,0
25,compute-independent,explicit-all,32,1048576,8,1024,1024,782,25557,3323,418719,0,0
26,compute-independent,explicit-all,32,1048576,8,1024,1024,729,24370,3355,431281,0,0
27,compute-independent,explicit-all,32,1048576,8,1024,1024,1066,25342,3125,421164,0,0
28,compute-independent,explicit-all,32,1048576,8,1024,1024,1060,25632,3284,420199,0,0
29,compute-independent,explicit-all,32,1048576,8,1024,1024,1032,25507,3125,422006,0,0
# validation_hash,fnv1a64:5c483422ead0cb25
