# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,automatic,8,1048576,8,1024,1024,531,8872,1909,96564,0,0
1,graphics-chain,automatic,8,1048576,8,1024,1024,503,10080,2124,105639,0,0
2,graphics-chain,automatic,8,1048576,8,1024,1024,492,9747,1965,114746,0,0
3,graphics-chain,automatic,8,1048576,8,1024,1024,484,9638,2132,110040,0,0
4,graphics-chain,automatic,8,1048576,8,1024,1024,515,10223,2008,97427,0,0
5,graphics-chain,automatic,8,1048576,8,1024,1024,520,10320,2280,97056,0,0
6,graphics-chain,automatic,8,1048576,8,1024,1024,568,10170,2015,97686,0,0
7,graphics-chain,automatic,8,1048576,8,1024,1024,504,9268,2257,97436,0,0
8,graphics-chain,automatic,8,1048576,8,1024,1024,490,12314,3017,100168,0,0
9,graphics-chain,automatic,8,1048576,8,1024,1024,596,9894,2710,97104,0,0
10,graphics-chain,automatic,8,1048576,8,1024,1024,534,10744,2053,97351,0,0
11,graphics-chain,automatic,8,1048576,8,1024,1024,505,9965,2245,97238,0,0
12,graphics-chain,automatic,8,1048576,8,1024,1024,537,10203,2014,97392,0,0
13,graphics-chain,automatic,8,1048576,8,1024,1024,553,10381,2222,97226,0,0
14,graphics-chain,automatic,8,1048576,8,1024,1024,554,10274,2199,97413,0,0
15,graphics-chain,automatic,8,1048576,8,1024,1024,519,16951,2070,96528,0,0
16,graphics-chain,automatic,8,1048576,8,1024,1024,516,10228,2239,97663,0,0
17,graphics-chain,automatic,8,1048576,8,1024,1024,504,9201,2986,97039,0,0
18,graphics-chain,automatic,8,1048576,8,1024,1024,1870,9259,2715,97567,0,0
19,graphics-chain,automatic,8,1048576,8,1024,1024,527,10148,2160,97607,0,0
20,graphics-chain,automatic,8,1048576,8,1024,1024,510,10147,2190,97543,0,0
21,graphics-chain,automatic,8,1048576,8,1024,1024,517,10199,2017,97331,0,0
22,graphics-chain,automatic,8,1048576,8,1024,1024,492,9977,2257,97453,0,0
23,graphics-chain,automatic,8,1048576,8,1024,1024,568,10321,2062,97763,0,0
24,graphics-chain,automatic,8,1048576,8,1024,1024,532,10172,2222,97291,0,0
25,graphics-chain,automatic,8,1048576,8,1024,1024,518,14320,2836,97030,0,0
26,graphics-chain,automatic,8,1048576,8,1024,1024,754,13624,2480,96181,0,0
27,graphics-chain,automatic,8,1048576,8,1024,1024,559,12837,2170,96381,0,0
28,graphics-chain,automatic,8,1048576,8,1024,1024,521,12898,2262,96437,0,0
29,graphics-chain,automatic,8,1048576,8,1024,1024,559,12874,2303,96916,0,0
# validation_hash,fnv1a64:de1814328067f325
