# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all,32,1048576,8,1024,1024,559,36587,2856,338583,0,0
1,graphics-chain,explicit-all,32,1048576,8,1024,1024,546,48425,3217,296952,0,0
2,graphics-chain,explicit-all,32,1048576,8,1024,1024,537,49230,3039,298280,0,0
3,graphics-chain,explicit-all,32,1048576,8,1024,1024,589,47959,3337,297513,0,0
4,graphics-chain,explicit-all,32,1048576,8,1024,1024,582,49698,2940,301509,0,0
5,graphics-chain,explicit-all,32,1048576,8,1024,1024,570,48366,3127,296590,0,0
6,graphics-chain,explicit-all,32,1048576,8,1024,1024,583,45981,2952,297589,0,0
7,graphics-chain,explicit-all,32,1048576,8,1024,1024,574,38094,3192,297304,0,0
8,graphics-chain,explicit-all,32,1048576,8,1024,1024,602,38422,2923,297878,0,0
9,graphics-chain,explicit-all,32,1048576,8,1024,1024,588,38084,3151,300980,0,0
10,graphics-chain,explicit-all,32,1048576,8,1024,1024,572,47549,3156,297741,0,0
11,graphics-chain,explicit-all,32,1048576,8,1024,1024,576,38970,3089,297273,0,0
12,graphics-chain,explicit-all,32,1048576,8,1024,1024,597,38269,2928,298325,0,0
13,graphics-chain,explicit-all,32,1048576,8,1024,1024,605,38037,3178,297357,0,0
14,graphics-chain,explicit-all,32,1048576,8,1024,1024,576,38708,3256,297359,0,0
15,graphics-chain,explicit-all,32,1048576,8,1024,1024,598,38363,2946,297364,0,0
16,graphics-chain,explicit-all,32,1048576,8,1024,1024,594,37781,3128,298067,0,0
17,graphics-chain,explicit-all,32,1048576,8,1024,1024,590,38875,3833,297300,0,0
18,graphics-chain,explicit-all,32,1048576,8,1024,1024,575,39495,3669,298089,0,0
19,graphics-chain,explicit-all,32,1048576,8,1024,1024,589,38325,3113,297689,0,0
20,graphics-chain,explicit-all,32,1048576,8,1024,1024,567,38140,3091,298846,0,0
21,graphics-chain,explicit-all,32,1048576,8,1024,1024,601,38410,3006,297118,0,0
22,graphics-chain,explicit-all,32,1048576,8,1024,1024,612,38960,3104,297472,0,0
23,graphics-chain,explicit-all,32,1048576,8,1024,1024,591,38231,2947,298087,0,0
24,graphics-chain,explicit-all,32,1048576,8,1024,1024,586,37850,3358,297682,0,0
25,graphics-chain,explicit-all,32,1048576,8,1024,1024,591,39081,2879,298494,0,0
26,graphics-chain,explicit-all,32,1048576,8,1024,1024,572,37950,3186,306660,0,0
27,graphics-chain,explicit-all,32,1048576,8,1024,1024,610,38460,2939,298271,0,0
28,graphics-chain,explicit-all,32,1048576,8,1024,1024,604,37772,3113,313926,0,0
29,graphics-chain,explicit-all,32,1048576,8,1024,1024,627,40445,3205,303918,0,0
# validation_hash,fnv1a64:de1814328067f325
