# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,551,14705,1750,124210,0,0
1,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,553,14648,1950,123407,0,0
2,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,558,14680,1796,123727,0,0
3,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,568,14586,1926,123183,0,0
4,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,562,14656,1728,123617,0,0
5,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,562,14579,1953,123357,0,0
6,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,517,14476,3707,124095,0,0
7,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,551,14520,1945,123528,0,0
8,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,543,14464,1774,123332,0,0
9,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,516,14553,1987,123139,0,0
10,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,512,14533,1722,123636,0,0
11,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,553,14802,1963,123455,0,0
12,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,546,14627,1749,123555,0,0
13,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,577,14607,1952,123355,0,0
14,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,561,14626,1964,123335,0,0
15,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,556,14646,1744,123582,0,0
16,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,548,14657,1955,123399,0,0
17,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,506,14670,2281,123078,0,0
18,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,538,14603,2378,124043,0,0
19,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,569,14533,4766,123714,0,0
20,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,523,14611,1968,123718,0,0
21,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,558,14649,1780,123596,0,0
22,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,515,14607,1971,123268,0,0
23,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,552,14618,1789,123686,0,0
24,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,558,14489,1976,123226,0,0
25,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,556,14532,1772,123516,0,0
26,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,564,14600,1956,122994,0,0
27,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,562,14555,1758,123628,0,0
28,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,545,14602,1973,123198,0,0
29,graphics-independent,hazard-only-scoped,16,1048576,8,1024,1024,569,14664,1804,124034,0,0
# validation_hash,fnv1a64:161975f4e03e1a92
