# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-independent,hazard-only,1,1048576,8,1024,1024,539,1320,1730,45981,0,0
1,graphics-independent,hazard-only,1,1048576,8,1024,1024,700,1484,2003,41459,0,0
2,graphics-independent,hazard-only,1,1048576,8,1024,1024,510,1326,1732,45364,0,0
3,graphics-independent,hazard-only,1,1048576,8,1024,1024,495,1357,1934,45094,0,0
4,graphics-independent,hazard-only,1,1048576,8,1024,1024,519,1453,1811,53289,0,0
5,graphics-independent,hazard-only,1,1048576,8,1024,1024,524,1434,2033,49363,0,0
6,graphics-independent,hazard-only,1,1048576,8,1024,1024,484,1328,1736,45618,0,0
7,graphics-independent,hazard-only,1,1048576,8,1024,1024,500,1356,1954,45199,0,0
8,graphics-independent,hazard-only,1,1048576,8,1024,1024,490,1342,1802,44993,0,0
9,graphics-independent,hazard-only,1,1048576,8,1024,1024,501,1388,1961,44703,0,0
10,graphics-independent,hazard-only,1,1048576,8,1024,1024,494,1336,1749,45074,0,0
11,graphics-independent,hazard-only,1,1048576,8,1024,1024,503,1345,1913,44707,0,0
12,graphics-independent,hazard-only,1,1048576,8,1024,1024,492,1344,1753,45164,0,0
13,graphics-independent,hazard-only,1,1048576,8,1024,1024,495,1359,1924,44908,0,0
14,graphics-independent,hazard-only,1,1048576,8,1024,1024,494,1341,1987,45171,0,0
15,graphics-independent,hazard-only,1,1048576,8,1024,1024,500,1336,1744,45145,0,0
16,graphics-independent,hazard-only,1,1048576,8,1024,1024,492,1347,1928,45133,0,0
17,graphics-independent,hazard-only,1,1048576,8,1024,1024,527,1355,2190,44562,0,0
18,graphics-independent,hazard-only,1,1048576,8,1024,1024,499,1361,2579,44521,0,0
19,graphics-independent,hazard-only,1,1048576,8,1024,1024,489,1351,1875,44845,0,0
20,graphics-independent,hazard-only,1,1048576,8,1024,1024,505,1340,1898,44804,0,0
21,graphics-independent,hazard-only,1,1048576,8,1024,1024,491,1353,1733,55587,0,0
22,graphics-independent,hazard-only,1,1048576,8,1024,1024,519,1421,2040,37795,0,0
23,graphics-independent,hazard-only,1,1048576,8,1024,1024,520,1406,1864,51191,0,0
24,graphics-independent,hazard-only,1,1048576,8,1024,1024,527,1428,2132,49181,0,0
25,graphics-independent,hazard-only,1,1048576,8,1024,1024,498,1358,1716,45298,0,0
26,graphics-independent,hazard-only,1,1048576,8,1024,1024,512,1350,1922,44978,0,0
27,graphics-independent,hazard-only,1,1048576,8,1024,1024,524,1334,1873,44752,0,0
28,graphics-independent,hazard-only,1,1048576,8,1024,1024,492,1341,1928,45074,0,0
29,graphics-independent,hazard-only,1,1048576,8,1024,1024,509,1326,1715,45109,0,0
# validation_hash,fnv1a64:161975f4e03e1a92
