# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,739,7347,3397,68888,0,0
1,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,730,8524,2992,69856,0,0
2,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,744,7232,4412,70711,0,0
3,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,726,7273,2980,69349,0,0
4,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,729,8698,3173,70097,0,0
5,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,728,7214,4136,70676,0,0
6,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,745,7137,3121,69069,0,0
7,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,716,8480,3019,70124,0,0
8,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,726,7140,4377,70197,0,0
9,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,731,7213,3003,69535,0,0
10,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,735,8445,3268,75061,0,0
11,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,751,7074,4158,69892,0,0
12,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,746,7146,3362,70876,0,0
13,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,762,7136,3228,69318,0,0
14,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,744,8880,3077,69939,0,0
15,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,708,7142,3226,69143,0,0
16,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,718,7293,3879,69553,0,0
17,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,775,7174,4239,70262,0,0
18,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,783,7161,3192,70574,0,0
19,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,741,7209,3180,69890,0,0
20,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,725,7196,2891,69686,0,0
21,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,735,11206,3209,71646,0,0
22,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,719,7130,2937,71438,0,0
23,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,1838,7191,3177,69368,0,0
24,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,726,8531,3391,68762,0,0
25,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,742,7090,3134,70514,0,0
26,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,750,8366,3009,70244,0,0
27,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,747,7227,4277,69522,0,0
28,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,719,7134,3058,70181,0,0
29,mixed-chain,automatic-scoped,4,1048576,8,1024,1024,736,8341,3247,69012,0,0
# validation_hash,fnv1a64:1784df47b32de49f
