# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,556,9585,2327,107288,0,0
1,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,528,9537,2111,108312,0,0
2,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,576,9432,2277,107261,0,0
3,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,566,12327,2075,106897,0,0
4,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,567,8527,2853,106990,0,0
5,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,1677,8575,2069,109240,0,0
6,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,564,9698,2260,107512,0,0
7,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,570,9933,2105,107228,0,0
8,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,580,8583,2573,106990,0,0
9,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,586,8529,2153,107391,0,0
10,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,588,8627,2202,107301,0,0
11,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,603,8631,2059,107818,0,0
12,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,530,9722,2335,108061,0,0
13,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,571,9438,2283,107271,0,0
14,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,569,9625,2072,108660,0,0
15,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,528,9850,2278,106970,0,0
16,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,555,8521,3539,107065,0,0
17,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,588,8576,3385,107738,0,0
18,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,1645,8571,2250,107895,0,0
19,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,598,9440,2228,106513,0,0
20,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,601,9660,2075,107412,0,0
21,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,562,9480,2293,106590,0,0
22,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,571,9501,2080,107604,0,0
23,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,584,9576,2298,107226,0,0
24,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,554,8478,2065,107485,0,0
25,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,563,8973,2332,107063,0,0
26,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,584,8595,2088,107444,0,0
27,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,585,8491,2225,107351,0,0
28,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,593,8609,2295,107355,0,0
29,mixed-independent,explicit-all-scoped,8,1048576,8,1024,1024,540,8525,2302,107450,0,0
# validation_hash,fnv1a64:3f7b4790d0b4ebb8
