# collection_id,20260725T190100Z
# repetition,2
# schema,blade-sync-bench-v1
# implementation,wgpu
# wgpu_version,30.0.0
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# vendor_id,0x10de
# device_id,0x2f04
# device_type,DiscreteGpu
# device_pci_bus_id,"0000:01:00.0"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
# timestamp_period_ns,0
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,tracked,32,1048576,8,1024,1024,196,8713,91149,465134,0,0
1,compute-independent,tracked,32,1048576,8,1024,1024,224,9091,89504,465648,0,0
2,compute-independent,tracked,32,1048576,8,1024,1024,230,8696,88822,465202,0,0
3,compute-independent,tracked,32,1048576,8,1024,1024,240,9002,88383,463671,0,0
4,compute-independent,tracked,32,1048576,8,1024,1024,231,8644,87823,464725,0,0
5,compute-independent,tracked,32,1048576,8,1024,1024,217,8602,87494,464499,0,0
6,compute-independent,tracked,32,1048576,8,1024,1024,215,8716,88412,463780,0,0
7,compute-independent,tracked,32,1048576,8,1024,1024,218,8683,84867,464168,0,0
8,compute-independent,tracked,32,1048576,8,1024,1024,233,8532,87553,463856,0,0
9,compute-independent,tracked,32,1048576,8,1024,1024,217,8574,90523,465418,0,0
10,compute-independent,tracked,32,1048576,8,1024,1024,205,8440,87380,464048,0,0
11,compute-independent,tracked,32,1048576,8,1024,1024,229,8646,87036,463934,0,0
12,compute-independent,tracked,32,1048576,8,1024,1024,228,8491,87360,465794,0,0
13,compute-independent,tracked,32,1048576,8,1024,1024,226,8673,86543,465430,0,0
14,compute-independent,tracked,32,1048576,8,1024,1024,233,8430,87111,462538,0,0
15,compute-independent,tracked,32,1048576,8,1024,1024,231,8498,89649,462434,0,0
16,compute-independent,tracked,32,1048576,8,1024,1024,222,8134,82836,467382,0,0
17,compute-independent,tracked,32,1048576,8,1024,1024,225,8150,83659,472039,0,0
18,compute-independent,tracked,32,1048576,8,1024,1024,215,8400,90973,462281,0,0
19,compute-independent,tracked,32,1048576,8,1024,1024,227,8066,83171,478182,0,0
20,compute-independent,tracked,32,1048576,8,1024,1024,230,8133,81952,462873,0,0
21,compute-independent,tracked,32,1048576,8,1024,1024,210,8229,82372,460455,0,0
22,compute-independent,tracked,32,1048576,8,1024,1024,208,8061,83104,462595,0,0
23,compute-independent,tracked,32,1048576,8,1024,1024,205,8099,82086,478328,0,0
24,compute-independent,tracked,32,1048576,8,1024,1024,202,8052,83462,463025,0,0
25,compute-independent,tracked,32,1048576,8,1024,1024,209,8101,93562,463022,0,0
26,compute-independent,tracked,32,1048576,8,1024,1024,208,8039,84160,461042,0,0
27,compute-independent,tracked,32,1048576,8,1024,1024,216,8004,82753,463798,0,0
28,compute-independent,tracked,32,1048576,8,1024,1024,252,8149,80830,463811,0,0
29,compute-independent,tracked,32,1048576,8,1024,1024,237,8072,82935,460633,0,0
# validation_hash,fnv1a64:5c483422ead0cb25
