# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,automatic-scoped,1,1048576,8,1024,1024,545,887,1871,46296,0,0
1,compute-chain,automatic-scoped,1,1048576,8,1024,1024,482,881,2055,42037,0,0
2,compute-chain,automatic-scoped,1,1048576,8,1024,1024,525,893,1865,45671,0,0
3,compute-chain,automatic-scoped,1,1048576,8,1024,1024,493,877,2196,44755,0,0
4,compute-chain,automatic-scoped,1,1048576,8,1024,1024,485,893,1881,45284,0,0
5,compute-chain,automatic-scoped,1,1048576,8,1024,1024,476,918,2035,45312,0,0
6,compute-chain,automatic-scoped,1,1048576,8,1024,1024,485,878,2017,45731,0,0
7,compute-chain,automatic-scoped,1,1048576,8,1024,1024,517,911,2211,45109,0,0
8,compute-chain,automatic-scoped,1,1048576,8,1024,1024,498,870,1855,45403,0,0
9,compute-chain,automatic-scoped,1,1048576,8,1024,1024,509,912,2087,44950,0,0
10,compute-chain,automatic-scoped,1,1048576,8,1024,1024,494,873,1852,45478,0,0
11,compute-chain,automatic-scoped,1,1048576,8,1024,1024,531,881,2062,45106,0,0
12,compute-chain,automatic-scoped,1,1048576,8,1024,1024,511,933,1892,45250,0,0
13,compute-chain,automatic-scoped,1,1048576,8,1024,1024,476,893,2051,45154,0,0
14,compute-chain,automatic-scoped,1,1048576,8,1024,1024,479,863,2112,45336,0,0
15,compute-chain,automatic-scoped,1,1048576,8,1024,1024,475,931,1884,45609,0,0
16,compute-chain,automatic-scoped,1,1048576,8,1024,1024,476,893,2085,45111,0,0
17,compute-chain,automatic-scoped,1,1048576,8,1024,1024,490,877,2374,45060,0,0
18,compute-chain,automatic-scoped,1,1048576,8,1024,1024,478,879,2536,44435,0,0
19,compute-chain,automatic-scoped,1,1048576,8,1024,1024,479,880,2099,45267,0,0
20,compute-chain,automatic-scoped,1,1048576,8,1024,1024,491,880,2038,45180,0,0
21,compute-chain,automatic-scoped,1,1048576,8,1024,1024,512,884,1857,45366,0,0
22,compute-chain,automatic-scoped,1,1048576,8,1024,1024,488,876,2085,46020,0,0
23,compute-chain,automatic-scoped,1,1048576,8,1024,1024,482,916,1893,45056,0,0
24,compute-chain,automatic-scoped,1,1048576,8,1024,1024,481,906,2172,44991,0,0
25,compute-chain,automatic-scoped,1,1048576,8,1024,1024,476,878,1926,45295,0,0
26,compute-chain,automatic-scoped,1,1048576,8,1024,1024,545,905,2044,45406,0,0
27,compute-chain,automatic-scoped,1,1048576,8,1024,1024,494,877,1844,44934,0,0
28,compute-chain,automatic-scoped,1,1048576,8,1024,1024,492,885,2020,45270,0,0
29,compute-chain,automatic-scoped,1,1048576,8,1024,1024,474,932,1971,45363,0,0
# validation_hash,fnv1a64:905b837d16859b25
