# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-chain,hazard-only,2,1048576,8,1024,1024,554,1321,1810,47618,0,0
1,compute-chain,hazard-only,2,1048576,8,1024,1024,460,1385,2036,47802,0,0
2,compute-chain,hazard-only,2,1048576,8,1024,1024,559,1325,1824,49323,0,0
3,compute-chain,hazard-only,2,1048576,8,1024,1024,504,1363,1994,49052,0,0
4,compute-chain,hazard-only,2,1048576,8,1024,1024,500,1354,1860,47601,0,0
5,compute-chain,hazard-only,2,1048576,8,1024,1024,552,1338,2303,49065,0,0
6,compute-chain,hazard-only,2,1048576,8,1024,1024,474,1360,1810,47460,0,0
7,compute-chain,hazard-only,2,1048576,8,1024,1024,468,1365,2035,51444,0,0
8,compute-chain,hazard-only,2,1048576,8,1024,1024,509,1368,1849,47690,0,0
9,compute-chain,hazard-only,2,1048576,8,1024,1024,500,1342,2134,48724,0,0
10,compute-chain,hazard-only,2,1048576,8,1024,1024,477,1365,1813,49101,0,0
11,compute-chain,hazard-only,2,1048576,8,1024,1024,479,1334,2002,47435,0,0
12,compute-chain,hazard-only,2,1048576,8,1024,1024,471,1345,1827,49465,0,0
13,compute-chain,hazard-only,2,1048576,8,1024,1024,475,1359,1992,49394,0,0
14,compute-chain,hazard-only,2,1048576,8,1024,1024,482,1358,2044,47417,0,0
15,compute-chain,hazard-only,2,1048576,8,1024,1024,481,1360,1824,58463,0,0
16,compute-chain,hazard-only,2,1048576,8,1024,1024,516,1465,2258,54925,0,0
17,compute-chain,hazard-only,2,1048576,8,1024,1024,526,1341,2358,48821,0,0
18,compute-chain,hazard-only,2,1048576,8,1024,1024,498,1359,2473,49970,0,0
19,compute-chain,hazard-only,2,1048576,8,1024,1024,475,1338,1978,49273,0,0
20,compute-chain,hazard-only,2,1048576,8,1024,1024,518,1339,2023,47367,0,0
21,compute-chain,hazard-only,2,1048576,8,1024,1024,474,1387,1798,47698,0,0
22,compute-chain,hazard-only,2,1048576,8,1024,1024,512,1344,2030,49114,0,0
23,compute-chain,hazard-only,2,1048576,8,1024,1024,529,1325,1825,47452,0,0
24,compute-chain,hazard-only,2,1048576,8,1024,1024,473,1360,2010,47477,0,0
25,compute-chain,hazard-only,2,1048576,8,1024,1024,504,1349,1829,47544,0,0
26,compute-chain,hazard-only,2,1048576,8,1024,1024,471,1359,2023,47295,0,0
27,compute-chain,hazard-only,2,1048576,8,1024,1024,493,1395,1917,47533,0,0
28,compute-chain,hazard-only,2,1048576,8,1024,1024,461,1258,1987,49531,0,0
29,compute-chain,hazard-only,2,1048576,8,1024,1024,502,1365,1812,47581,0,0
# validation_hash,fnv1a64:e611a4cf5515cb25
