# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,575,3038,1859,97672,0,0
1,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,533,2940,2027,98162,0,0
2,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,554,3101,1849,98927,0,0
3,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,540,3075,2106,97367,0,0
4,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,557,3074,1848,97885,0,0
5,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,512,3108,2012,97991,0,0
6,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,508,3026,1852,97898,0,0
7,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,528,3021,2060,97705,0,0
8,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,531,3047,1835,97997,0,0
9,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,560,3031,2133,97740,0,0
10,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,542,3012,1839,98060,0,0
11,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,501,3069,3075,98487,0,0
12,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,543,2959,1872,98672,0,0
13,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,509,3032,2121,98473,0,0
14,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,500,3046,2021,97729,0,0
15,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,510,3036,1857,98031,0,0
16,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,503,3027,2021,97973,0,0
17,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,519,3082,2415,97298,0,0
18,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,503,3063,2440,99437,0,0
19,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,528,3052,2035,97727,0,0
20,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,500,3109,1991,97752,0,0
21,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,511,3039,1831,98180,0,0
22,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,501,3090,2014,97787,0,0
23,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,580,3041,1862,97763,0,0
24,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,499,2953,2966,95921,0,0
25,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,532,3082,1897,97958,0,0
26,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,499,3104,2020,97938,0,0
27,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,527,3056,1887,97835,0,0
28,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,545,3104,2033,97780,0,0
29,compute-independent,hazard-only-scoped,8,1048576,8,1024,1024,534,3080,1849,97951,0,0
# validation_hash,fnv1a64:056052a9de256325
