# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,640,7384,2597,61818,0,0
1,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,609,7439,2891,68969,0,0
2,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,643,7751,2759,62689,0,0
3,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,671,7645,2967,62821,0,0
4,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,635,7686,2724,62560,0,0
5,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,631,7733,2957,62202,0,0
6,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,647,7800,2742,62418,0,0
7,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,680,7722,3120,62286,0,0
8,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,635,7690,2726,62608,0,0
9,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,680,7632,2978,62065,0,0
10,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,678,7912,2680,62433,0,0
11,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,648,7830,2941,62691,0,0
12,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,682,7769,2711,62489,0,0
13,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,634,7809,2947,62867,0,0
14,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,661,7711,2961,62325,0,0
15,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,663,7675,5184,62695,0,0
16,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,641,7613,2966,62288,0,0
17,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,644,7767,3589,61871,0,0
18,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,701,7715,3882,64188,0,0
19,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,646,7617,2904,63506,0,0
20,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,706,7785,2908,62521,0,0
21,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,658,7805,3041,62392,0,0
22,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,639,7672,2946,62210,0,0
23,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,669,9615,2757,62464,0,0
24,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,641,7644,4055,62221,0,0
25,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,695,7804,2773,62947,0,0
26,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,625,8913,2905,62382,0,0
27,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,664,7691,2753,62962,0,0
28,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,1732,7741,2990,62420,0,0
29,graphics-chain,explicit-all-scoped,4,1048576,8,1024,1024,641,7589,3877,63126,0,0
# validation_hash,fnv1a64:15057f87e2663eb9
