# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,automatic,8,1048576,8,1024,1024,551,9482,2357,150564,0,0
1,mixed-chain,automatic,8,1048576,8,1024,1024,545,9271,2090,110239,0,0
2,mixed-chain,automatic,8,1048576,8,1024,1024,584,9663,2430,109272,0,0
3,mixed-chain,automatic,8,1048576,8,1024,1024,534,9313,2076,108736,0,0
4,mixed-chain,automatic,8,1048576,8,1024,1024,548,9208,2315,109130,0,0
5,mixed-chain,automatic,8,1048576,8,1024,1024,550,9393,2035,109428,0,0
6,mixed-chain,automatic,8,1048576,8,1024,1024,536,8267,2408,107645,0,0
7,mixed-chain,automatic,8,1048576,8,1024,1024,551,9295,2118,108939,0,0
8,mixed-chain,automatic,8,1048576,8,1024,1024,557,8278,2516,108084,0,0
9,mixed-chain,automatic,8,1048576,8,1024,1024,580,8216,2078,109004,0,0
10,mixed-chain,automatic,8,1048576,8,1024,1024,573,8217,2253,108903,0,0
11,mixed-chain,automatic,8,1048576,8,1024,1024,541,8292,2034,108739,0,0
12,mixed-chain,automatic,8,1048576,8,1024,1024,596,9172,2350,110480,0,0
13,mixed-chain,automatic,8,1048576,8,1024,1024,554,9411,2312,108863,0,0
14,mixed-chain,automatic,8,1048576,8,1024,1024,561,9294,2055,109617,0,0
15,mixed-chain,automatic,8,1048576,8,1024,1024,542,9383,2268,108631,0,0
16,mixed-chain,automatic,8,1048576,8,1024,1024,531,9117,2868,108392,0,0
17,mixed-chain,automatic,8,1048576,8,1024,1024,593,8285,3349,109636,0,0
18,mixed-chain,automatic,8,1048576,8,1024,1024,1734,8267,2226,109394,0,0
19,mixed-chain,automatic,8,1048576,8,1024,1024,565,9165,2212,108886,0,0
20,mixed-chain,automatic,8,1048576,8,1024,1024,534,10977,2075,113238,0,0
21,mixed-chain,automatic,8,1048576,8,1024,1024,596,9265,2280,108807,0,0
22,mixed-chain,automatic,8,1048576,8,1024,1024,613,9480,2049,109592,0,0
23,mixed-chain,automatic,8,1048576,8,1024,1024,576,9525,2335,109373,0,0
24,mixed-chain,automatic,8,1048576,8,1024,1024,661,8339,2118,110109,0,0
25,mixed-chain,automatic,8,1048576,8,1024,1024,591,8622,2274,109937,0,0
26,mixed-chain,automatic,8,1048576,8,1024,1024,582,8516,2087,109563,0,0
27,mixed-chain,automatic,8,1048576,8,1024,1024,552,8275,2283,109669,0,0
28,mixed-chain,automatic,8,1048576,8,1024,1024,566,8321,2355,109504,0,0
29,mixed-chain,automatic,8,1048576,8,1024,1024,596,8306,2316,108893,0,0
# validation_hash,fnv1a64:eac4e0cc71c712af
