# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,hazard-only,2,1048576,8,1024,1024,535,2367,2186,50202,0,0
1,mixed-chain,hazard-only,2,1048576,8,1024,1024,537,2290,1926,50939,0,0
2,mixed-chain,hazard-only,2,1048576,8,1024,1024,540,2366,2286,48540,0,0
3,mixed-chain,hazard-only,2,1048576,8,1024,1024,590,2423,1920,50210,0,0
4,mixed-chain,hazard-only,2,1048576,8,1024,1024,538,2400,2157,50122,0,0
5,mixed-chain,hazard-only,2,1048576,8,1024,1024,574,2363,3191,50168,0,0
6,mixed-chain,hazard-only,2,1048576,8,1024,1024,537,2374,2179,49995,0,0
7,mixed-chain,hazard-only,2,1048576,8,1024,1024,535,2349,1939,50328,0,0
8,mixed-chain,hazard-only,2,1048576,8,1024,1024,596,2356,2191,50146,0,0
9,mixed-chain,hazard-only,2,1048576,8,1024,1024,546,2390,3118,49062,0,0
10,mixed-chain,hazard-only,2,1048576,8,1024,1024,574,2391,2132,49491,0,0
11,mixed-chain,hazard-only,2,1048576,8,1024,1024,572,2462,1959,50746,0,0
12,mixed-chain,hazard-only,2,1048576,8,1024,1024,595,2379,2126,50133,0,0
13,mixed-chain,hazard-only,2,1048576,8,1024,1024,538,2359,3304,50002,0,0
14,mixed-chain,hazard-only,2,1048576,8,1024,1024,511,2333,1959,49391,0,0
15,mixed-chain,hazard-only,2,1048576,8,1024,1024,589,2364,2194,50034,0,0
16,mixed-chain,hazard-only,2,1048576,8,1024,1024,532,2334,2477,49792,0,0
17,mixed-chain,hazard-only,2,1048576,8,1024,1024,561,2377,2668,50742,0,0
18,mixed-chain,hazard-only,2,1048576,8,1024,1024,1479,2455,2128,49120,0,0
19,mixed-chain,hazard-only,2,1048576,8,1024,1024,539,2407,2122,50473,0,0
20,mixed-chain,hazard-only,2,1048576,8,1024,1024,538,2384,1953,50017,0,0
21,mixed-chain,hazard-only,2,1048576,8,1024,1024,534,2354,2166,48244,0,0
22,mixed-chain,hazard-only,2,1048576,8,1024,1024,1456,2381,1986,50377,0,0
23,mixed-chain,hazard-only,2,1048576,8,1024,1024,537,2386,2191,49099,0,0
24,mixed-chain,hazard-only,2,1048576,8,1024,1024,542,2339,1983,50915,0,0
25,mixed-chain,hazard-only,2,1048576,8,1024,1024,556,2381,2213,48534,0,0
26,mixed-chain,hazard-only,2,1048576,8,1024,1024,528,3399,1992,50215,0,0
27,mixed-chain,hazard-only,2,1048576,8,1024,1024,544,2326,2153,50534,0,0
28,mixed-chain,hazard-only,2,1048576,8,1024,1024,583,2351,1959,49486,0,0
29,mixed-chain,hazard-only,2,1048576,8,1024,1024,562,2407,2460,48295,0,0
# validation_hash,fnv1a64:a015aa2a0da336c7
