# collection_id,20260725T190100Z
# repetition,3
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,false
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,599,17300,2504,182111,0,0
1,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,641,18240,2544,183693,0,0
2,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,616,18289,2474,184850,0,0
3,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,644,18306,2284,183305,0,0
4,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,625,18451,2447,185341,0,0
5,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,619,20556,2310,187206,0,0
6,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,628,16384,2698,183262,0,0
7,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,650,28116,2426,184912,0,0
8,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,583,16573,2508,182887,0,0
9,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,605,16118,2332,183810,0,0
10,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,648,16473,2400,183280,0,0
11,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,587,16751,2284,184190,0,0
12,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,682,16306,2467,184032,0,0
13,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,629,16642,2703,183837,0,0
14,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,631,16476,2308,184488,0,0
15,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,656,16660,2514,182863,0,0
16,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,619,16551,2837,183801,0,0
17,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,625,16401,3094,186022,0,0
18,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,630,15729,2535,184753,0,0
19,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,628,15993,2430,183668,0,0
20,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,632,15697,2277,183980,0,0
21,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,621,15794,2507,183385,0,0
22,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,627,15821,2314,184095,0,0
23,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,620,15700,2491,183504,0,0
24,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,565,15876,2305,184027,0,0
25,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,627,15745,2644,183642,0,0
26,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,567,15919,2276,186298,0,0
27,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,619,15895,2495,183833,0,0
28,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,623,16040,2353,195935,0,0
29,mixed-independent,automatic-scoped,16,1048576,8,1024,1024,605,15763,2572,183811,0,0
# validation_hash,fnv1a64:bed1d5e4700d559c
