# collection_id,20260725T191617Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1304,16493,2892,194360,164416,16
1,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1224,19203,3017,194141,164000,16
2,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,2646,17130,2629,195654,164800,16
3,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1235,18391,2491,195833,164736,16
4,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1349,18467,2550,194405,164192,16
5,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1180,18245,2432,195124,164480,16
6,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1284,17368,3139,194295,164256,16
7,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,2293,17765,2444,194841,164384,16
8,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1287,16479,2692,194382,164480,16
9,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1191,16412,2375,194781,164352,16
10,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1239,16443,2609,194584,164896,16
11,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1223,16490,2382,205367,173952,16
12,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1352,19472,2780,194110,164032,16
13,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1244,16324,2568,194990,165056,16
14,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1242,16117,2395,194808,164832,16
15,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1236,16295,2613,193861,164128,16
16,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1275,16411,2942,194710,164672,16
17,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1265,16408,3263,195465,164128,16
18,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1253,15956,2626,194158,164224,16
19,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1268,16448,2595,194576,164928,16
20,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1206,16330,2387,194746,164096,16
21,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1235,16516,2603,217284,175072,16
22,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,2016,29544,4115,207474,171520,16
23,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,2202,18085,3508,195950,164192,16
24,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1390,16800,2775,196819,165152,16
25,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1272,17400,2788,196300,165632,16
26,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1399,16031,2461,201837,171072,16
27,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1255,16479,2813,204258,173376,16
28,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1366,17324,2659,195105,163904,16
29,mixed-chain,explicit-all-scoped,16,1048576,8,1024,1024,1329,17283,2894,198447,164352,16
# validation_hash,fnv1a64:d723cf861be8a15e
