# collection_id,20260725T191617Z
# repetition,1
# schema,blade-sync-bench-v1
# implementation,blade
# backend,vulkan
# device_name,"NVIDIA GeForce RTX 5070"
# driver_name,"NVIDIA"
# driver_info,"595.71.05"
# software_emulated,false
# validation,false
# gpu_timing,true
sample,workload,policy,passes,elements,rounds,width,height,start_ns,record_ns,submit_ns,wait_ns,gpu_ns,gpu_pass_count
0,mixed-independent,automatic,16,1048576,8,1024,1024,1389,18336,2931,195941,164640,16
1,mixed-independent,automatic,16,1048576,8,1024,1024,1505,22394,2580,196999,164960,16
2,mixed-independent,automatic,16,1048576,8,1024,1024,1411,20481,2820,196655,164576,16
3,mixed-independent,automatic,16,1048576,8,1024,1024,1540,20579,2563,197371,164864,16
4,mixed-independent,automatic,16,1048576,8,1024,1024,1394,19264,3320,196228,164320,16
5,mixed-independent,automatic,16,1048576,8,1024,1024,2988,18890,2528,197296,164832,16
6,mixed-independent,automatic,16,1048576,8,1024,1024,1359,21078,2799,197633,165344,16
7,mixed-independent,automatic,16,1048576,8,1024,1024,1430,18580,2551,196413,164736,16
8,mixed-independent,automatic,16,1048576,8,1024,1024,1425,18324,2904,196364,164960,16
9,mixed-independent,automatic,16,1048576,8,1024,1024,1442,17906,2577,196901,165184,16
10,mixed-independent,automatic,16,1048576,8,1024,1024,1421,18105,2714,196605,165152,16
11,mixed-independent,automatic,16,1048576,8,1024,1024,1375,18405,2489,197721,164768,16
12,mixed-independent,automatic,16,1048576,8,1024,1024,1348,18133,2965,196619,164544,16
13,mixed-independent,automatic,16,1048576,8,1024,1024,1477,18436,2815,196375,164704,16
14,mixed-independent,automatic,16,1048576,8,1024,1024,1368,18079,2547,196670,164960,16
15,mixed-independent,automatic,16,1048576,8,1024,1024,1396,18383,2771,196495,165056,16
16,mixed-independent,automatic,16,1048576,8,1024,1024,1263,18232,3334,195990,165056,16
17,mixed-independent,automatic,16,1048576,8,1024,1024,1467,17805,3391,198592,165472,16
18,mixed-independent,automatic,16,1048576,8,1024,1024,1368,18046,2788,196690,164960,16
19,mixed-independent,automatic,16,1048576,8,1024,1024,1312,18357,2748,196312,164384,16
20,mixed-independent,automatic,16,1048576,8,1024,1024,1393,18152,2548,196873,164800,16
21,mixed-independent,automatic,16,1048576,8,1024,1024,1448,18455,2721,197570,165888,16
22,mixed-independent,automatic,16,1048576,8,1024,1024,1303,18102,2475,197162,164800,16
23,mixed-independent,automatic,16,1048576,8,1024,1024,1402,17862,2835,196773,164960,16
24,mixed-independent,automatic,16,1048576,8,1024,1024,1333,18107,2731,196580,164576,16
25,mixed-independent,automatic,16,1048576,8,1024,1024,1472,18275,2766,196498,165120,16
26,mixed-independent,automatic,16,1048576,8,1024,1024,1351,17969,2521,196158,164480,16
27,mixed-independent,automatic,16,1048576,8,1024,1024,1357,33699,3341,197749,165024,16
28,mixed-independent,automatic,16,1048576,8,1024,1024,1379,17546,2552,197378,165248,16
29,mixed-independent,automatic,16,1048576,8,1024,1024,1467,18400,2813,198131,166528,16
# validation_hash,fnv1a64:bed1d5e4700d559c
